"1333741353579257856","repfe","Yes! SR sagt ja zu #EhefürAlle ohne Verfassungsänderung. Die Volksabstimmung ohne Ständemehr wird kommen. Gerade von (frei-)kirchlicher Seite wünsche ich mir für die Debatten eine faire&amp;sachliche Diskussion (ohne geheime Rechtsgutachten, usw.). Bin für theol. Podien gerne dabei!"
"1333740469189300229","doedel","heute scheint es in allen kantonen 🇨🇭 zu schneien ❄️ 

ein hoch auf das ständemehr!"
"1333739644803035138","Gabriele_1897_","@rolandsweg Entweder du hast dich verschrieben, oder eine sehr Kreative Fantasie. Wesshalb sollte denn jetzt der Ständerat weg? Du meinst warscheindlich das Ständemehr :)"
"1333739537340768258","AdYSEOhDtvKquDv","RT @azadinto: Ständemehr gehört nicht abgeschaft sondern ist Teil der Demokratie. So sehen wir doch den #Abstimmungssonntag positive Das Vo…"
"1333739440477515788","FelixWettstein","Brauchen die Menschenrechte künftig das Ständemehr? https://t.co/SgyU2aoEOx"
"1333738193464815617","StojanovicNenad","Ich schwöre es! Für mein Tweet von gestern über Jagdgesetz &amp; Ständemehr habe ich mich nicht vom   heutigen @NZZ - Kommentar inspirieren lassen ! 🤫

https://t.co/1myd7YikzF https://t.co/wyRda5cOBN https://t.co/IPPp7vPiGc"
"1333737105554542602","LisaWitzig55","RT @enairam15: Kaum zu glauben bezüglich 🇨🇭Ständemehr: Auch in #10vor10 ein Thema. (Ob die Skeptikerinnen* realisiert haben, dass in der EU…"
"1333736164675760130","rolandsweg","RT @rolandsweg: Soll das Ständemehr abgeschafft werden?"
"1333734088881168386","Unparteiischen","@ckberner Liebe Fr. Jansen, in nord korea gibt es kein ständemehr."
"1333729785202286595","BenzMatthias","RT @NeuhausC: Hände weg vom Ständemehr - jedenfalls vorerst https://t.co/JOQFu4VwC9 via @NZZ"
"1333729362798137349","Adrian11192493","@russo_lf @MAngehrn @ZStadtfux Bezüglich ""Zusammenhalt"" musss man aufpassen. Das Ständemehr-Konzept begünstigt massiv die Deutschschweiz. Eigentlich sollte es ja genau dazu dienen Randregionen und Minderheiten zu stärken. #Staendemehr"
"1333728135293046785","omenzi","RT @meyerphilip: Wie kommen Armutsbetroffene, die nicht in einem Caritasladen einkaufen können, dennoch an Lebensmittel? @omenzi vom Verein…"
"1333727587701583876","A_geitchlyufe","@samkrieg Glaube kaum, dass die Ehe für Alle am Ständemehr scheitern würde, sogar wenn der Ständerat das schaffen würde."
"1333726409496342529","luescher_sandro","Wie weit Volks- und Ständemehr auseinanderliegen können, zeigte die CVP-""Heiratsstrafe""-Abstimmung von 2016. Damals aber unter umgekehrten Vorzeichen. 16.5 Stände befürworteten die Vorlage, 6.5 waren dagegen. Die Vorlage scheiterte am Volksmehr (49.2%)."
"1333726199458254856","Politikfragen","RT @SamuelEberenz: Eine Volksinitiative die am Ständemehr scheitert hat für die ""Sieger"" spätestens seit Trump den Beigeschmack einer/s US-…"
"1333725916929822721","willwallis12","Dass Deutschland unsere Skigebiete schliessen will, ist ja schon merkwürdig. Aber warum will Dänemark unser #Ständemehr abschaffen?"
"1333725317408714759","ToscanRalph","@derrotedoktor @MFrauchigerSVP Es reicht eben nicht. Denn der Wille des Verfassungsgebers sind nicht die Ständeräte, sondern das Ständemehr im obligatorischen Referendum. Das wird nun vorsätzlich ausser acht gelassen, womit die Verfassung der Beliebigkeit preisgegeben wird. Schwarzer Tag für die Demokratie."
"1333725125804515329","TobiasInfortuna","Das Ständemehr und die KVI aus linker Sicht: https://t.co/vep1rZnbIu"
"1333724300701003776","ToscanRalph","@derrotedoktor @MFrauchigerSVP Zu schwierig zu versehen? Ich rede vom Ständemehr im obligatorischen Referendum."
"1333724184787214336","paellig","Einige #KVI-Verlierer zetteln eine Debatte um das #Ständemehr an. Aus Frust wollen sie das föderalistische Element abschaffen, welches unsere kulturellen Minderheiten sowie unsere kleinen und mittleren Kantone schützt. @RonjaJansen @josef_lang https://t.co/JmyLbAhtju"
"1333723727687802881","emmster","Man möchte der FDP und der CVP schon jetzt viel Erfolg wünschen beim Unterfangen, sich bei den nächsten Wahlen in den urbanen Gebieten auch nur halbwegs kredibel als Partei zu positionieren, die die lokalen Sorgen und Ängste ernst nimmt. Gibt dann auch kein rettendes Ständemehr."
"1333723722646220802","pearldiver99","RT @kinettehuber: Man darf es den aus Deutschland stammenden Kampagneleitern vieler NGO‘s nicht verübeln, dass sie Mühe mit dem Ständemehr…"
"1333723179341246466","TecktonikToni","hot take: ständemehr ist keine konzession an kleine kantone sondern an konservative kräfte, die sich vom progress der städte und der dort ansässigen arbeiter einscheissen."
"1333723121891876864","manuelgranwehr","M.M.n. würde ein bewusst gewählter ""Föderalismus-Faktor"" Sinn machen. Als Grundlage für das Ständemehr dienen Resultate in den jeweiligen Kantonen. Der kleinste Kanton wird dann im Vergleich zum grössten mit diesem Faktor gewichtet, alle dazwischen proportional entsprechend. 13/"
"1333723120675512320","manuelgranwehr","Was sind die Optionen? @Mark_Balsiger macht einen Vorschlag von bestechender Einfachheit: ""Erreicht das Volksmehr beispielsweise 53 oder 54 Prozent, ist das Ständemehr überstimmt."" Viele Vorschläge entsprechen effektiv einer Schwächung, nicht Veränderung des Ständemehrs. 12/"
"1333723112337182722","manuelgranwehr","Wie steht es also mit Reform? Es sollte möglich sein, die Schwächen zu mindern und die Stärken zu erhalten. Der O-Ton ist momentan, das jegliche Reform ohnehin chancenlos ist, weil sie das Ständemehr überwinden müsse. Diese Hürde wird aller Wahrscheinlichkeit nicht kleiner. 9/"
"1333723103717851136","manuelgranwehr","Jüngere demographische Trends deuten auf eine weitere Zunahme hin. Gibt es zu viel Übergewichtung? Die Wahrscheinlichkeit einer Reform nimmt auf jeden Fall ab, je weiter die Übergewichtung zunimmt. Kantone welche vom Ständemehr profitieren, hätten immer mehr zu verlieren. 4/"
"1333723094163329024","manuelgranwehr","Aus aktuellem Anlass (#KVI): Schwächen und Stärken des #Ständemehr|s. Schwäche Nr 1: Grad der „Über“-Gewichtung ist keine bewusste Entscheidung sondern Folge demographischen Zufalls (und variierte stark über die Zeit). 1/"
"1333723092020064258","manuelgranwehr","Ständemehr reformieren? Wo ist überhaupt das Problem? Was müssten Alternativen besser machen? Und ist das wirklich so dringend? Über 250 mal wurde Volks- und Ständemehr verlangt. Bei nur 14 Abstimmungen standen diese im Konflikt. Wichtig ist die Diskussion trotzdem. Ein Thread 0/ https://t.co/AMnTOJJlSS"
"1333722678457458689","TecktonikToni","no cap i verstehe überhaupt nicht wieso es bei volksinitiativen ein ständemehr geben muss. es ist eine einfache demokratische befragung, bei der die gesamtschweizerische bevölkerung entscheidet und nicht „kantone“. mois kantone können doch nicht wählen."
"1333718008636837890","davidrei","@dhofstet Das Zweikammernsystem und das Ständemehr sind Instrumente des Minderheitenschutzes. Man kann sicher darüber diskutieren, wie zeitgemäss diese noch sind. Ohne sehr gute Argumente für die Abschaffung oder valaber neuer Ansätze wird aber eine Reform unmöglich sein."
"1333717962080079879","BeatGubser","Dass für eine Verfassungsänderung aus politischen Gründen das Ständemehr ausgeschaltet werden soll ist brandgefährlich.
#Ehefueralle"
"1333716073905057792","therealboeffi","@meiermarket @mediabeobachter @gerhardpfister @RonjaJansen Das Ständemehr ist doch keine Frage der Grösse des Kantons, Letztere sind für Verfassungsanliegen gleichgewichtet. Das ist das Demokratieverständnis des föderalen Bundesstaates und ihrer Verfassung, die sich Volk und Stände damals gaben."
"1333715836947795969","BeatGubser","@NicErzer Dann ist ja alles kein Problem.
Macht eine saubere Verfassungsänderung mit Ständemehr und dann ist die #Ehefueralle  demokratisch beschlossen."
"1333714893174923264","NicErzer","@BeatGubser Wir Menschen nicht mehr. 7 Jahre warten ist genug.

Die #Ehefueralle könnt ihr nicht aufhalten. Auch das Ständemehr würden wir locker schaffen. Diese Abwehrschlacht ist daher vollkommen unnötig."
"1333712039152406529","BeatGubser","Es braucht für die #Ehefueralle eine Verfassungsänderung und somit das Ständemehr. https://t.co/mQRKYp7ucv"
"1333711588684144643","SamuelEberenz","Eine Volksinitiative die am Ständemehr scheitert hat für die ""Sieger"" spätestens seit Trump den Beigeschmack einer/s US-Präsident*in, die/der den #PopularVote verliert. Trotzdem schade @Schweiz, keine #Konzernverantwortung zu wollen.

https://t.co/oPOeL9bCm0"
"1333710547234254848","ToscanRalph","Bereits 2013 war klar, dass die Ehe für alle eine Verfassungsänderung benötigt. Darum war die Parlamentarische Initiative der GLP auch so formuliert, dass die Verfassung geändert wird. Der Wille des Verfassungsgebers ist klar und darf nicht ohne Ständemehr geändert werden. https://t.co/aPX15UOHdz"
"1333710533749510145","kinettehuber","Ein kluger und differenzierter Text von @NeuhausC 

Hände weg vom Ständemehr - jedenfalls vorerst https://t.co/Zb5AAJcio8 via @NZZ"
"1333710153833705473","oe_simon","@MFrauchigerSVP @michelzug Die, die es nicht wollen, streben den Weg über eine unnötige Verfassungsänderung an, in der Hoffnung, dass die Abstimmung am Ständemehr scheitert."
"1333709508242182145","Kari1sie76","RT @IPWunibern: Ein in der bisherigen Debatte um die Doppelmehrregel bisher vernachlässigter Aspekt: Adrian Vatter richtet den Blick auf hä…"
"1333708695159574528","IPWunibern","Ein in der bisherigen Debatte um die Doppelmehrregel bisher vernachlässigter Aspekt: Adrian Vatter richtet den Blick auf häufige «Beinahekollisionen» zwischen Volks- und #Ständemehr. Das Paradebeispiel: EWR (1992) https://t.co/3Vg3gqtJZJ cc @Kari1sie76 #chvote #abst20"
"1333708356326993920","minlimarti","@MarcRudisuli Schade einfach, wenn man dann beschliesst, geschlossen für eine unnötige Verfassungsänderung bei der Ehe für alle zu sein, wohl in der Hoffnung, sie könnte dann am Ständemehr scheitern."
"1333705865476661250","beatrice_isler","Und wie ist das jetzt mit dem Verlieren-können????

Die Grünen sägen am Ständemehr

https://t.co/IF4UkTj3BP"
"1333705136024268800","Flammer19","@srfnews @michellebeyeler Das Ständemehr ist richtig und wichtig so wie es jetzt ist. Da etwas zu ändern, nur weil Linke Grüne verloren haben, wäre ein fataler Fehler! Gibt die Niederlage zu und kehrt zur Arbeit zurück!"
"1333704189134954496","SchircksB","RT @EugenHani: @hjbertschi Die eu braucht ein föderatives System,zbspmit ständemehr,dann ist sie wieder im Geschäft"
"1333703461817421825","therealboeffi","@RonjaJansen Das Ständemehr für Verfassungsanliegen ist unantastbar! Holt euch im Parlament die Mehrheit für einen Gesetzesentwurf im Sinne der KVI, dann habt ihr beim Referendum eventuell das Volksmehr."
"1333702637276057602","BeatGubser","#EhefürAlle trendet auf Twitter, da gibt es wohl eine wichtige Abstimmung im Ständerat.
Ich wünsche Herrn @RiederBeat viel Erfolg bei seinem eigentlich selbstverständlichen Anliegen, dass es für eine Verfassungsänderung das Ständemehr braucht.
#EheMannFrau"
"1333702379544440832","talvi04","Regelmässig: &gt;Stadt Agglo überstimmt Randregionen&lt;

Stadt /Agglo so: ""deal with it, du  rückständiger Bergbewohner""

Einmal in xxx Jahren: &gt; Ständemehr überstimmt Stadt /Agglo&lt;

Stadt /Agglo so: ""😱😳🤬👿🤯"""
"1333701851179593728","IPWunibern","RT @PeterBussjaeger: Hier erklärt euch @rfrbrghs ganz wunderbar das Ständemehr, aber Vorsicht: Schwyzerdütsch!"
"1333701758946856960","8eau","RT @PeterBussjaeger: Hier erklärt euch @rfrbrghs ganz wunderbar das Ständemehr, aber Vorsicht: Schwyzerdütsch! https://t.co/pQySdWMtqT"
"1333700780617043969","morvjn","RT @PeterBussjaeger: Hier erklärt euch @rfrbrghs ganz wunderbar das Ständemehr, aber Vorsicht: Schwyzerdütsch! https://t.co/pQySdWMtqT"
"1333700581110804481","schnellenbachj","RT @PeterBussjaeger: Hier erklärt euch @rfrbrghs ganz wunderbar das Ständemehr, aber Vorsicht: Schwyzerdütsch! https://t.co/pQySdWMtqT"
"1333699663699070976","PoLILYtik","@paratexception Was ist eigentlich dieses ""Ständemehr""?"
"1333699059601842176","talvi04","@SandroLooser Gerade mal 10 Abstimmungen in 172 Jahren scheiterten am Ständemehr.
Ansonsten 637 Vorlagen wurden von Volk und Stände angenommen.
Von dem her? Jammern auf hohem Niveau?
Dazu, bei Nicht Verfassungsfragen überstimmen Städte /Agglo regelmässig Landregionen.
(Via @suedostschweiz)"
"1333696732253855744","therealboeffi","@meiermarket @mediabeobachter @gerhardpfister @RonjaJansen Ich hätte nichts gegen einen Gesetzesvorschlag des Parlaments im Sinne der Initiative, dann kann das Volk mittels Referendum entscheiden, ohne Ständemehr, und das wäre ok"
"1333696494998867969","EugenHani","@hjbertschi Die eu braucht ein föderatives System,zbspmit ständemehr,dann ist sie wieder im Geschäft"
"1333696483829440514","FranzOMeier","@redder66 @FDP_Liberalen @RuediNoser @PetraGoessi Leider schafften es die „Sieger“ nach der Abstimmung, das Ständemehr zum Thema zu machen. Man sollte aber vielmehr die Beschädigung des Diskussionsniveaus durch die bürgerliche Lügenkampagne thematisieren."
"1333696125392613377","AmnestyZurich","RT @Amnesty_Schweiz: ""Die Schweizer Zivilgesellschaft ist wach. Sie fordert ethisches, verantwortungs­volles Handeln, gerade auch von den g…"
"1333695210535129088","MrShadowfly","@S3ifenblase @schmid_claudio @KapoZuerich @tagi Nein ehrlich, wie kommst du auf so eine Idee? Wer das Ständemehr diskutieren möchte, ist nicht für eine Abschaffung der Demokratie."
"1333693430946549760","DanielAegerter","@thefuben @gerhardpfister @GrueneCH @JusoSchweiz @RonjaJansen Falsch: Das Ständemehr schützt einfach ländliche Kantone mit geringer Bevölkerungsdichte und keine politischen Ideologien. Es geht vielmehr darum, dass durch eine Abschaffung des Ständemehr, die Städte eine zu grosse Macht hätten!"
"1333692264321781762","Nole8708","RT @silvano_moeckli: Beim #Ständemehr hat die Erfolgswertungleichheit der Stimmen gelegentlich Auswirkungen, beim #Ständerat aber dauernd.…"
"1333690958991536129","mjundt2","RT @FM_Maier: der @tagesanzeiger zeigt schön wie die Linke Afrika sieht: Als ein Land von Idioten auf dem Entwicklungsstand knapp nach der…"
"1333690838161842176","rpk1111","@MilanLSMD @kinettehuber Also mit sie habe ich nicht ""Sie"" gemeint, sondern die Ständemehr-Chlöner, die zugleich EU-Anhänger sind."
"1333690383994327040","Kari1sie76","RT @josef_lang: Geschätzte @NeuhausC Wie in @NZZaS zu lesen war, hat sich das Hauptmotiv für das #Ständemehr erledigt. In Gegenwart und Zuk…"
"1333689563487870976","HeinzLindenmann","Unsere Verfassung ist dauernd in Bewegung – trotz Ständemehr #srf https://t.co/SaqqTuyXSP"
"1333689004919836674","ch_mueller_FUK","@sven_altermatt aber die Älpler dürfen über die Stadtzürcher bestimmen? Man kann für oder gegen das Ständemehr sein.  Aber dieses Argument ist nicht zu Ende gedacht... @bzBasel https://t.co/mEySurGXop"
"1333687714441535488","patric_madorin","Und wie wollen Sie das Ständemehr abschaffen ???Zuerst mal Hirn einschalten!!!!! https://t.co/zgN864Optb"
"1333687000071888897","Trippmann","RT @Philipp_Sarasin: Das sind die Anteile der kleinsten Kantone an der Gesamtbevölkerung (in %): 
AI: 0,2
OW: 0,4
UR:0,4
NW: 0,5
GL: 0,5
AI…"
"1333686956220424193","josef_lang","Geschätzte @NeuhausC Wie in @NZZaS zu lesen war, hat sich das Hauptmotiv für das #Ständemehr erledigt. In Gegenwart und Zukunft wirkt es diskriminierend gegenüber der Romandie-Minderheit: alle 5 Fälle seit 1983! @letemps
https://t.co/bIvvAMMmBv
https://t.co/ExvvFx0Hjm via @NZZaS"
"1333685256818364416","schaerer_swiss","RT @swissinfo_de: Ist das Ständemehr noch zeitgemäss? Nein, sagt der Politologe @StojanovicNenad. Warum er dennoch nicht mit einer Änderung…"
"1333684149060837376","talvi04","RT @ErichAschi: Ständemehr: wenn ein Urner Nein 31 Mal wirkungsvoller ist als ein Zürcher. Als gebürtiger Urner sage ich: Das wird schon ei…"
"1333683853240758273","jglplu","RT @jglpCH: Der gestrige Abstimmungssonntag stimmt uns nachdenklich. Wir sind enttäuscht über das knappe Scheitern der @konzern_vi am Ständ…"
"1333682725614706688","thekaspa77","RT @NeuhausC: Hände weg vom Ständemehr - jedenfalls vorerst https://t.co/JOQFu4VwC9 via @NZZ"
"1333682600813203458","heulmal","RT @Schweizer2020: @Weltwoche Ja, die 🇨🇭ist die Summe ihrer Kantone, sie ist auf den Kantonen aufgebaut, darum haben die Kantone eine herau…"
"1333681552371429376","MilanLSMD","@rpk1111 @kinettehuber Sehen Sie, dann funktioniert es wie bei unserem Ständemehr..."
"1333680833660596226","flogschwend","RT @KasparSurber: Apropos Ständemehr: Bisher relativ unbemerkt, will Ständerat Andrea Caroni dieses nicht zurückbauen, sondern sogar noch a…"
"1333680349075869696","BertrandForclaz","@claudelongchamp @RenatKuenzi @swissinfo_de Eine weitere interessante Analyse von @miperrico in @srfnews: „Andernorts sind Verfassungsänderungen schwieriger“. 
Unsere Verfassung ist dauernd in Bewegung – trotz Ständemehr
 https://t.co/suFIuMcjxq"
"1333679245504212993","CH_SSpill_ZH","RT @d_zygmont: An alle Möchtegerndemokraten, welche jetzt das #Ständemehr infrage stellen, weil sie eine #Abstimmung verloren haben: ""Das S…"
"1333678151231295488","HenrietteLevy","#Staendemehr der neue Tummelplatz für Politologen."
"1333676218508582912","FelixSchneuwly","RT @claudelongchamp: #Ständemehr 
Kein Unikum. @RenatKuenzi gibt eine Übersicht über die Diskussion zum Ständemehr. 
(Der angekündigte Tite…"
"1333675958839160833","FelixSchneuwly","@LStampel @olivergraf @enussbi @fabian_fellmann @MullerAltermatt @claudelongchamp @rfrbrghs @zdaarau Wenn schon etwas ändern, dann das Ständemehr mit einem qualifizierten Volksmehr (z.B. 60% statt 50%+1) ersetzen."
