,Politician,Google Search Results
0,"""Député au Conseil des Etats Olivier Français""","About 8,690,000 results (0.85 seconds) "
1,"""Députée au Conseil des Etats Johanna Gapany""","About 7,720 results (0.59 seconds) "
2,"""Ständerat Hannes Germann""","About 6,330 results (0.40 seconds) "
3,"""Ständerätin Andrea Gmür-Schönenberger""",About 498 results (0.45 seconds) 
4,"""Ständerätin Maya Graf""","About 2,590 results (0.45 seconds) "
5,"""Ständerätin Brigitte Häberli-Koller""","About 1,980 results (0.37 seconds) "
6,"""Ständerates Thomas Hefti""",About 2 results (0.33 seconds) 
7,"""Ständerat Peter Hegglin""","About 4,360 results (0.38 seconds) "
8,"""Ständerätin Eva Herzog""",About 643 results (0.35 seconds) 
9,"""Ständerat Daniel Jositsch""","About 29,600 results (0.44 seconds) "
10,"""Député au Conseil des Etats Charles Juillard""","About 357,000 results (0.63 seconds) "
11,"""Ständerat Hansjörg Knecht""",About 562 results (0.39 seconds) 
12,"""Ständerates Alex Kuprecht""",About 36 results (0.44 seconds) 
13,"""Député au Conseil des Etats Christian Levrat""","About 145,000 results (0.76 seconds) "
14,"""Députée au Conseil des Etats Marianne Maret""","About 149,000 results (0.68 seconds) "
15,"""Députée au Conseil des Etats Lisa Mazzone""","About 28,400 results (0.68 seconds) "
16,"""Ständerat Matthias Michel""","About 1,120 results (0.30 seconds) "
17,"""Ständerat Thomas Minder""","About 6,920 results (0.42 seconds) "
18,"""Ständerat Damian Müller""","About 16,500 results (0.48 seconds) "
19,"""Ständerat Ruedi Noser""","About 11,500 results (0.40 seconds) "
20,"""Ständerat Paul Rechsteiner""","About 30,300 results (0.44 seconds) "
21,"""Ständerat Othmar Reichmuth""",About 694 results (0.35 seconds) 
22,"""Ständerat Beat Rieder""","About 11,200 results (0.47 seconds) "
23,"""Ständerat Werner Salzmann""","About 2,510 results (0.35 seconds) "
24,"""Ständerat Martin Schmid""","About 3,120 results (0.43 seconds) "
25,"""Député au Conseil des Etats Carlo Sommaruga""","About 25,300 results (0.62 seconds) "
26,"""Ständerat Jakob Stark""",About 756 results (0.37 seconds) 
27,"""Ständeratspräsident Hans Stöckli""","About 8,300 results (0.35 seconds) "
28,"""Députée au Conseil des Etats Adèle Thorens Goumaz""","About 2,720 results (0.67 seconds) "
29,"""Députée au Conseil des Etats Céline Vara""","About 123,000 results (0.64 seconds) "
30,"""Ständerat Hans Wicki""","About 5,500 results (0.50 seconds) "
31,"""Ständerat Benedikt Würth""","About 1,590 results (0.48 seconds) "
32,"""Ständerat Roberto Zanetti""","About 9,160 results (0.42 seconds) "
33,"""Ständerätin Heidi Z'graggen""",About 135 results (0.35 seconds) 
34,"""Ständerat Mathias Zopfi""",About 338 results (0.34 seconds) 
