,Politician,Google Search Results
0,"""Vizepräsidentin des Nationalrat Irène Kälin""","About 6,490 results (0.69 seconds) "
1,"""Conseiller national Sidney Kamerzin""",About 156 results (0.39 seconds) 
2,"""Nationalrat Peter Keller""","About 7,050 results (0.55 seconds) "
3,"""Conseillère nationale Delphine Klopfenstein Broggini""",About 105 results (0.33 seconds) 
4,"""Nationalrat Roger Köppel""","About 102,000 results (0.45 seconds) "
5,"""Nationalrat Philipp Kutter""","About 377,000 results (0.41 seconds) "
6,"""Nationalrat Martin Landolt""","About 4,110 results (0.64 seconds) "
7,"""Nationalrätin Sandra Locher Benguerel""",About 408 results (0.34 seconds) 
8,"""Nationalrat Christian Lohr""","About 6,560 results (0.59 seconds) "
9,"""Conseiller national Christian Lüscher""","About 1,470 results (0.53 seconds) "
10,"""Nationalrat Jörg Mäder""",About 293 results (0.37 seconds) 
11,"""Conseiller national Pierre-Yves Maillard""",About 380 results (0.40 seconds) 
12,"""Conseiller national Vincent Maitre""",About 154 results (0.39 seconds) 
13,"""Conseiller national Piero Marchesi""",About 2 results (0.32 seconds) 
14,"""Nationalrätin Christa Markwalder""","About 9,200 results (0.41 seconds) "
15,"""Conseillère nationale Ada Marra""","About 2,260 results (0.42 seconds) "
16,"""Nationalrätin Min Li Marti""","About 2,260 results (0.42 seconds) "
17,"""Nationalrätin Samira Marti""","About 2,360 results (0.39 seconds) "
18,"""Nationalrätin Magdalena Martullo-Blocher""","About 9,570 results (0.50 seconds) "
19,"""Nationalrätin Nadine Masshardt""","About 1,970 results (0.38 seconds) "
20,"""Nationalrat Thomas Matter""","About 12,500 results (0.48 seconds) "
21,"""Conseiller national Michel Matter""",About 132 results (0.40 seconds) 
22,"""Nationalrätin Melanie Mettler""",About 271 results (0.35 seconds) 
23,"""Nationalrätin Mattea Meyer""","About 4,970 results (0.40 seconds) "
24,"""Conseillère nationale Sophie Michaud Gigon""",About 255 results (0.34 seconds) 
25,"""Nationalrat Fabian Molina""","About 3,570 results (0.46 seconds) "
26,"""Présidente du Conseil national Isabelle Moret""","About 3,810 results (0.52 seconds) "
27,"""Nationalrätin Tiana Angelina Moser""","About 2,090 results (0.41 seconds) "
28,"""Nationalrat Leo Müller""","About 3,090 results (0.55 seconds) "
29,"""Nationalrat Stefan Müller-Altermatt""","About 3,370 results (0.44 seconds) "
30,"""Nationalrätin Martina Munz""","About 2,710 results (0.43 seconds) "
31,"""Conseiller national Philippe Nantermod""","About 1,850 results (0.47 seconds) "
32,"""Conseiller national Jacques Nicolet""",About 895 results (0.52 seconds) 
33,"""Conseiller national Yves Nidegger""","About 3,120 results (0.61 seconds) "
34,"""Conseiller national Roger Nordmann""","About 2,270 results (0.43 seconds) "
35,"""Nationalrat Eric Nussbaumer""","About 5,290 results (0.45 seconds) "
36,"""Nationalrat Nicolo Paganini""","About 1,780 results (0.60 seconds) "
37,"""Conseiller national Pierre-André Page""","About 1,330 results (0.41 seconds) "
38,"""Conseillère nationale Isabelle Pasquier-Eichenberger""","About 1,440 results (0.38 seconds) "
39,"""Nationalrat Gerhard Pfister""","About 6,230 results (0.42 seconds) "
40,"""Conseillère nationale Valérie Piller Carrard""",About 473 results (0.40 seconds) 
41,"""Conseiller national François Pointet""",About 287 results (0.41 seconds) 
42,"""Conseillère nationale Léonore Porchet""",About 405 results (0.39 seconds) 
43,"""Nationalrat Hans-Peter Portmann""","About 3,790 results (0.46 seconds) "
44,"""Nationalrätin Katharina Prelicz-Huber""","About 1,620 results (0.44 seconds) "
