,Politician,Google Search Results
0,"""Nationalrat Manuel Strupler""",About 708 results (0.37 seconds) 
1,"""Nationalrätin Lilian Studer""","About 1,880 results (0.34 seconds) "
2,"""Nationalrätin Gabriela Suter""","About 3,510 results (0.36 seconds) "
3,"""Nationalrat Michael Töngi""","About 2,070 results (0.73 seconds) "
4,"""Nationalrätin Aline Trede""","About 3,440 results (0.56 seconds) "
5,"""Nationalrat Mauro Tuena""","About 2,890 results (0.43 seconds) "
6,"""Nationalrätin Nadja Umbricht Pieren""",About 494 results (0.33 seconds) 
7,"""Nationalrätin Susanne Vincenz-Stauffacher""","About 2,030 results (0.34 seconds) "
8,"""Nationalrat Hans-Ueli Vogt""","About 4,540 results (0.45 seconds) "
9,"""Nationalrat Erich von Siebenthal""","About 3,180 results (0.42 seconds) "
10,"""Conseiller national Nicolas Walder""",About 172 results (0.41 seconds) 
11,"""Nationalrat Bruno Walliser""","About 2,250 results (0.41 seconds) "
12,"""Nationalrat Beat Walti""","About 1,900 results (0.44 seconds) "
13,"""Nationalrätin Flavia Wasserfallen""","About 1,310 results (0.40 seconds) "
14,"""Nationalrat Christian Wasserfallen""","About 9,240 results (0.40 seconds) "
15,"""Conseiller national Laurent Wehrli""",About 750 results (0.41 seconds) 
16,"""Nationalrätin Manuela Weichelt-Picard""","About 1,200 results (0.40 seconds) "
17,"""Nationalrat Cédric Wermuth""","About 10,800 results (0.47 seconds) "
18,"""Nationalrat Felix Wettstein""",About 970 results (0.35 seconds) 
19,"""Nationalrätin Céline Widmer""",About 170 results (0.35 seconds) 
20,"""Nationalrätin Priska Wismer-Felder""",About 689 results (0.40 seconds) 
21,"""Nationalrat Walter Wobmann""","About 10,600 results (0.54 seconds) "
22,"""Nationalrat David Zuberbühler""","About 1,410 results (0.55 seconds) "
23,"""Député au Conseil des Etats Philippe Bauer""","About 910,000 results (0.75 seconds) "
24,"""Députée au Conseil des Etats Elisabeth Baume-Schneider""","About 442,000 results (0.79 seconds) "
25,"""Ständerat Pirmin Bischof""","About 7,570 results (0.48 seconds) "
26,"""Ständerat Thierry Burkart""","About 4,300 results (0.39 seconds) "
27,"""Ständerätin Marina Carobbio Guscetti""",About 381 results (0.35 seconds) 
28,"""Ständerat Andrea Caroni""","About 8,130 results (0.44 seconds) "
29,"""Député au Conseil des Etats Marco Chiesa""","About 344,000 results (0.75 seconds) "
30,"""Ständerat Josef Dittli""","About 3,320 results (0.49 seconds) "
31,"""Ständerat Stefan Engler""","About 5,140 results (0.43 seconds) "
32,"""Ständerat Erich Ettlin""","About 3,340 results (0.43 seconds) "
33,"""Ständerat Daniel Fässler""",About 692 results (0.39 seconds) 
