id	parlamentarier_id	stichdatum	in_liste	verguetung_transparent	freigabe_datum	parlamentarier_name	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache
514	265	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Barrile, Angelo"	"NR"	"ZH"	"SP"	"S"	"Del I-V, GPK-NR, SPK-NR"	2015-11-30		"M"	1976-08-22	4203	3104	"de"	"de"
269	265	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Barrile, Angelo"	"NR"	"ZH"	"SP"	"S"	"Del I-V, GPK-NR, SPK-NR"	2015-11-30		"M"	1976-08-22	4203	3104	"de"	"de"
16	265	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Barrile, Angelo"	"NR"	"ZH"	"SP"	"S"	"Del I-V, GPK-NR, SPK-NR"	2015-11-30		"M"	1976-08-22	4203	3104	"de"	"de"
515	266	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Bauer, Philippe"	"SR"	"NE"	"FDP"	"RL"	"APF-V, GPDel-V, GPK-SR, RedK-V, RK-SR, SPK-SR"	2015-11-30		"M"	1962-04-09	4187	3059	"fr"	"fr"
270	266	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Bauer, Philippe"	"SR"	"NE"	"FDP"	"RL"	"APF-V, GPDel-V, GPK-SR, RedK-V, RK-SR, SPK-SR"	2015-11-30		"M"	1962-04-09	4187	3059	"fr"	"fr"
17	266	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Bauer, Philippe"	"SR"	"NE"	"FDP"	"RL"	"APF-V, GPDel-V, GPK-SR, RedK-V, RK-SR, SPK-SR"	2015-11-30		"M"	1962-04-09	4187	3059	"fr"	"fr"
517	51	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Bäumle, Martin"	"NR"	"ZH"	"GLP"	"GL"	"IK-NR, UREK-NR"	2003-12-01		"M"	1964-06-03	1138	2585	"de"	"de"
272	51	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Bäumle, Martin"	"NR"	"ZH"	"GLP"	"GL"	"IK-NR, UREK-NR"	2003-12-01		"M"	1964-06-03	1138	2585	"de"	"de"
19	51	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Bäumle, Martin"	"NR"	"ZH"	"GLP"	"GL"	"IK-NR, UREK-NR"	2003-12-01		"M"	1964-06-03	1138	2585	"de"	"de"
519	323	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Bendahan, Samuel"	"NR"	"VD"	"SP"	"S"	"WAK-NR"	2017-06-15		"M"	1980-06-11	4213	3114	"fr"	"fr"
274	323	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Bendahan, Samuel"	"NR"	"VD"	"SP"	"S"	"WAK-NR"	2017-06-15		"M"	1980-06-11	4213	3114	"fr"	"fr"
521	53	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Bertschy, Kathrin"	"NR"	"BE"	"GLP"	"GL"	"GK-V, WAK-NR"	2011-12-05		"F"	1979-07-02	4102	3016	"de"	"de"
276	53	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Bertschy, Kathrin"	"NR"	"BE"	"GLP"	"GL"	"GK-V, WAK-NR"	2011-12-05		"F"	1979-07-02	4102	3016	"de"	"de"
22	53	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Bertschy, Kathrin"	"NR"	"BE"	"GLP"	"GL"	"GK-V, WAK-NR"	2011-12-05		"F"	1979-07-02	4102	3016	"de"	"de"
523	55	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Birrer-Heimo, Prisca"	"NR"	"LU"	"SP"	"S"	"GPK-NR, WAK-NR"	2010-05-31		"F"	1959-02-04	4030	2743	"de"	"de"
278	55	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Birrer-Heimo, Prisca"	"NR"	"LU"	"SP"	"S"	"GPK-NR, WAK-NR"	2010-05-31		"F"	1959-02-04	4030	2743	"de"	"de"
