id	parlamentarier_id	stichdatum	in_liste	verguetung_transparent	freigabe_datum	parlamentarier_name	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache
318	75	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Estermann, Yvette"	"NR"	"LU"	"SVP"	"V"	"APK-NR, Bü-NR, GPK-NR"	2007-12-03		"F"	1967-02-26	3876	2679	"sk"	"de"
63	75	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Estermann, Yvette"	"NR"	"LU"	"SVP"	"V"	"APK-NR, Bü-NR, GPK-NR"	2007-12-03		"F"	1967-02-26	3876	2679	"sk"	"de"
564	316	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Ettlin, Erich"	"SR"	"OW"	"CVP"	"M-CEB"	"FK-SR, RedK-V, SGK-SR, WAK-SR"	2015-11-30		"M"	1962-05-30	4206	3107	"de"	"de"
319	316	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Ettlin, Erich"	"SR"	"OW"	"CVP"	"M-CEB"	"FK-SR, RedK-V, SGK-SR, WAK-SR"	2015-11-30		"M"	1962-05-30	4206	3107	"de"	"de"
64	316	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Ettlin, Erich"	"SR"	"OW"	"CVP"	"M-CEB"	"FK-SR, RedK-V, SGK-SR, WAK-SR"	2015-11-30		"M"	1962-05-30	4206	3107	"de"	"de"
565	279	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Eymann, Christoph"	"NR"	"BS"	"LDP"	"RL"	"RK-NR, WBK-NR"	1991-11-25		"M"	1951-01-15	74	2287	"de"	"de"
320	279	2018-11-19	1	"teilweise"	2019-12-24T16:13:05	"Eymann, Christoph"	"NR"	"BS"	"LDP"	"RL"	"RK-NR, WBK-NR"	1991-11-25		"M"	1951-01-15	74	2287	"de"	"de"
65	279	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Eymann, Christoph"	"NR"	"BS"	"LDP"	"RL"	"RK-NR, WBK-NR"	1991-11-25		"M"	1951-01-15	74	2287	"de"	"de"
566	76	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Fässler, Daniel"	"SR"	"AI"	"CVP"	"M-CEB"	"BeK-V, Del I-V, GPK-SR, OSZE, SPK-SR, UREK-SR"	2011-12-05		"M"	1960-08-22	4056	2767	"de"	"de"
321	76	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Fässler, Daniel"	"SR"	"AI"	"CVP"	"M-CEB"	"BeK-V, Del I-V, GPK-SR, OSZE, SPK-SR, UREK-SR"	2011-12-05		"M"	1960-08-22	4056	2767	"de"	"de"
