Datum,Aktenzeichen
17.06.2009,6B_329/2009
28.03.2008,8C_104/2007
24.09.2012,6F_7/2012
22.03.2010,9C_451/2009
27.08.2012,6B_43/2012
21.02.2013,1B_34/2013
20.05.2015,1C_253/2015
15.12.2009,1B_290/2009
31.08.2012,2D_15/2012
01.10.2012,2C_957/2012
07.02.2012,1C_330/2011
08.11.2007,2A.113/2007
20.05.2008,6B_257/2008
07.02.2012,1B_604/2011
18.12.2015,8C_479/2015
09.04.2010,5A_256/2010
11.12.2015,6B_957/2015
25.03.2010,1C_526/2009
27.11.2012,1C_436/2012
30.03.2010,6B_92/2010
06.01.2009,5A_834/2008
24.03.2007,6B_42/2007
29.11.2011,2C_962/2011
15.08.2008,5A_397/2008
28.07.2008,9C_450/2008
10.08.2007,6F_6/2007
27.12.2012,1B_631/2012
26.11.2011,2C_963/2011
24.07.2009,5A_115/2009
09.07.2007,5A_286/2007
26.02.2008,6B_800/2007
17.11.2016,2C_373/2016
27.05.2008,5A_163/2008
02.12.2014,5A_495/2014
04.09.2013,1B_289/2013
12.06.2014,9C_353/2014
07.10.2011,8C_675/2011
21.12.2015,6B_266/2015
21.01.2008,2C_266/2007
20.04.2010,4A_63/2010
02.03.2016,2C_186/2016
25.03.2008,1C_440/2007
26.02.2008,4F_8/2007
12.12.2012,1B_738/2012
19.12.2016,2C_1165/2016
07.07.2007,6B_330/2007
14.12.2016,8C_309/2016
16.12.2010,9C_992/2010
26.10.2012,2D_62/2012
13.12.2016,6B_999/2016
23.12.2011,8C_919/2011
17.02.2011,4A_402/2010
12.12.2016,2C_1068/2016
04.05.2011,9C_61/2011
21.10.2010,1F_20/2010
22.12.2011,9C_836/2011
13.04.2010,4F_3/2010
13.05.2015,8C_302/2015
06.03.2015,8C_164/2015
23.07.2007,2C_140/2007
05.07.2011,5A_452/2011
30.10.2012,1B_585/2012
19.03.2008,2C_236/2008
08.01.2013,1B_584/2012
22.09.2010,1B_211/2010
15.03.2010,6B_48/2010
02.02.2016,5A_87/2016
24.02.2014,9C_891/2013
07.02.2012,2C_137/2012
12.05.2009,9F_5/2009
25.10.2011,1C_294/2011
04.03.2014,2C_206/2014
23.10.2012,2C_462/2012
24.06.2011,2C_529/2011
20.03.2009,8C_12/2009
09.04.2010,5A_170/2010
12.11.2015,5A_57/2015
30.03.2016,1B_120/2016
26.02.2008,1C_91/2008
27.02.2014,6B_692/2013
05.06.2008,2C_380/2008
09.10.2013,4A_424/2013
13.12.2011,2C_1013/2011
14.01.2016,2C_37/2016
27.05.2013,1C_634/2012
16.08.2012,6B_144/2012
24.03.2015,1B_79/2015
26.03.2014,2T_1/2014
23.11.2011,1C_518/2011
16.12.2011,1C_145/2011
20.12.2011,9C_913/2011
03.09.2007,2C_399/2007
26.10.2011,1C_144/2011
11.02.2013,1B_27/2013
19.06.2014,4D_39/2014
20.07.2011,1G_4/2011
19.10.2011,4A_482/2011
09.09.2011,9C_418/2011
29.10.2012,2C_1051/2012
20.04.2012,1C_194/2012
22.08.2014,9C_151/2014
03.04.2008,5A_106/2008
01.04.2010,2C_679/2009
02.11.2016,6B_1217/2016
22.01.2008,6B_741/2007
13.12.2016,9C_713/2016
28.06.2012,6B_818/2011
10.02.2016,2C_740/2015
04.03.2008,9C_867/2007
19.12.2016,1C_587/2016
30.03.2012,6B_819/2011
15.10.2007,6B_526/2007
14.12.2016,8C_804/2016
22.11.2007,1C_256/2007
24.04.2015,5D_67/2015
15.06.2007,1P.115/2007
30.12.2015,1B_453/2015
06.01.2009,1B_327/2008
03.09.2014,5A_283/2014
28.03.2008,4A_87/2008
16.02.2010,6B_138/2010
17.03.2010,8C_867/2009
26.05.2008,4D_40/2008
09.02.2012,8C_129/2012
12.12.2016,5A_772/2016
18.11.2011,1F_32/2011
18.02.2014,5A_800/2013
10.05.2011,6B_372/2009
14.05.2008,9C_246/2008
21.06.2011,2C_939/2010
09.07.2012,2C_660/2012
07.08.2008,6B_397/2008
12.07.2011,9C_451/2011
07.02.2012,5D_132/2011
18.05.2016,9C_64/2016
12.03.2010,2C_224/2009
04.04.2012,1F_7/2012
25.02.2008,5A_91/2008
18.01.2010,2C_468/2009
08.09.2008,9C_591/2008
06.05.2011,6B_257/2011
22.10.2008,8C_798/2008
27.11.2012,2C_1166/2012
21.10.2008,1C_330/2008
05.08.2008,4A_238/2008
05.06.2013,1F_6/2013
27.02.2014,4A_52/2014
17.07.2012,8C_541/2011
09.04.2008,6B_93/2008
02.11.2007,6B_550/2007
23.09.2013,2C_406/2013
13.08.2010,6B_581/2010
22.01.2008,5A_612/2007
15.05.2012,9C_79/2012
02.06.2010,8C_297/2010
16.09.2012,2C_872/2012
23.10.2009,8C_811/2009
28.04.2011,2C_166/2011
24.07.2008,6B_373/2008
03.03.2010,8C_810/2009
29.04.2011,1C_83/2011
08.03.2011,6B_775/2010
12.12.2016,5D_203/2016
13.02.2012,2C_62/2012
05.03.2009,6B_162/2009
06.04.2009,1B_76/2009
12.09.2016,1B_132/2016
05.12.2011,5A_548/2011
27.05.2011,2C_392/2011
02.07.2014,9C_918/2013
16.10.2009,8C_674/2009
22.02.2013,1B_19/2013
14.12.2016,6B_978/2016
13.12.2016,6B_895/2016
19.12.2016,1B_476/2016
04.03.2010,1C_121/2009
17.12.2009,9C_977/2009
06.02.2008,9C_675/2007
22.12.2009,8C_918/2009
20.02.2008,1B_48/2008
27.05.2013,1C_194/2013
16.09.2015,2C_812/2015
20.04.2010,8C_64/2010
17.10.2013,9C_553/2013
12.08.2008,6B_482/2007
06.06.2012,8C_371/2012
29.05.2015,9C_336/2015
08.10.2012,1C_170/2012
23.06.2008,2C_190/2008
14.09.2010,8C_611/2010
08.08.2016,8C_212/2016
06.08.2012,1B_444/2012
20.12.2012,1B_622/2012
22.06.2015,4D_38/2015
03.02.2012,4D_10/2012
29.04.2010,5D_45/2010
22.03.2012,9C_217/2012
08.02.2012,4A_44/2012
29.11.2011,1B_660/2011
15.08.2012,1B_182/2012
27.11.2007,4D_66/2007
17.12.2012,2D_71/2012
22.08.2016,1B_287/2016
05.02.2008,4A_269/2007
04.03.2015,2C_693/2014
07.11.2011,1C_467/2011
29.01.2008,2C_71/2008
17.05.2013,1B_153/2013
24.03.2010,9C_333/2009
29.04.2011,9C_743/2010
05.07.2010,9C_525/2010
02.06.2015,4A_546/2014
05.03.2012,1B_81/2012
25.09.2008,1B_224/2008
14.08.2008,2C_137/2008
06.02.2007,4P.8/2007
17.11.2008,5A_322/2008
12.10.2015,8C_556/2015
23.11.2009,4A_501/2009
20.03.2014,2C_268/2014
19.04.2012,6B_13/2012
09.04.2010,8C_1071/2009
07.05.2007,6B_65/2007
17.08.2011,1B_393/2011
23.11.2011,2C_944/2011
06.01.2011,2T_4/2009
24.06.2010,9C_284/2010
14.06.2008,6B_168/2008
02.07.2014,5D_89/2014
09.03.2011,5A_168/2011
19.04.2011,2C_757/2010
29.08.2012,1G_5/2012
13.10.2009,2C_140/2009
12.08.2008,4A_244/2008
19.02.2008,8C_81/2007
29.10.2013,5A_592/2013
15.07.2010,5A_271/2010
07.01.2009,5A_812/2008
05.03.2014,5A_175/2014
24.10.2011,6B_483/2011
06.05.2015,6B_348/2015
25.04.2012,1B_203/2012
13.12.2016,6B_1243/2016
14.12.2016,4A_139/2016
22.03.2016,1B_107/2016
03.03.2010,5A_157/2010
19.12.2016,5A_958/2016
02.02.2010,5A_740/2009
23.03.2011,2E_1/2009
13.12.2016,8C_606/2016
26.11.2009,1B_313/2009
02.04.2008,8C_448/2007
09.03.2010,6B_215/2010
11.07.2008,5A_459/2008
04.10.2013,1C_286/2013
03.06.2016,8C_366/2016
04.06.2007,1C_83/2007
24.02.2009,1C_396/2008
25.02.2008,4A_527/2007
03.04.2008,9C_824/2007
30.06.2015,6B_166/2015
28.05.2013,1C_215/2013
28.05.2010,8C_339/2010
03.08.2010,9C_727/2009
02.03.2007,5P.378/2006
09.02.2012,2C_1018/2011
22.06.2009,6B_490/2009
20.02.2014,9C_824/2013
16.07.2010,9C_356/2010
31.10.2007,5A_115/2007
13.11.2013,1C_214/2013
24.10.2007,8C_272/2007
23.08.2012,5A_397/2012
26.07.2012,9C_450/2012
05.09.2012,5A_396/2012
29.04.2008,1B_102/2008
11.06.2009,4A_115/2009
05.08.2008,2C_522/2008
20.10.2011,1B_573/2011
30.11.2015,1B_411/2015
24.05.2013,1C_526/2012
18.12.2012,2C_432/2012
15.12.2008,9C_273/2008
20.04.2012,9C_603/2011
05.01.2010,1B_364/2009
20.05.2016,6B_334/2016
17.08.2010,4A_329/2010
07.12.2015,5A_963/2015
23.05.2008,6B_42/2008
14.07.2010,5A_474/2010
08.04.2009,2C_210/2009
10.02.2012,5A_114/2012
05.02.2008,5A_6/2008
24.02.2011,9C_130/2011
04.12.2012,1B_721/2012
17.07.2014,6B_166/2014
30.04.2010,9C_321/2010
18.02.2010,6B_877/2009
08.11.2012,2C_393/2012
24.08.2010,1C_329/2010
25.08.2011,2C_470/2011
25.04.2015,2C_967/2014
19.12.2016,5A_708/2016
20.03.2008,1B_42/2008
12.06.2008,6B_330/2008
03.02.2010,1B_18/2010
13.12.2016,5A_941/2016
30.07.2008,4D_75/2008
14.12.2016,2C_1141/2016
06.03.2012,9C_867/2011
16.10.2009,2D_63/2009
27.11.2007,5A_651/2007
12.12.2016,2C_943/2016
20.07.2015,1C_152/2015
21.11.2012,1B_628/2012
20.03.2015,1F_52/2014
09.07.2010,9C_552/2010
13.06.2014,1C_95/2014
12.02.2007,2A.779/2006
05.09.2012,1B_494/2012
25.07.2012,8C_509/2012
14.03.2008,8C_2/2008
05.09.2012,1B_495/2012
28.03.2008,4A_69/2008
13.12.2014,2C_643/2014
18.03.2016,6B_188/2016
25.02.2008,5A_619/2007
10.05.2012,8C_333/2012
16.09.2010,1B_301/2010
22.02.2016,5A_137/2016
16.10.2007,9C_96/2007
22.09.2009,2C_604/2009
04.11.2011,2C_439/2011
14.06.2012,2C_1027/2011
21.03.2012,1B_152/2012
05.07.2012,5A_500/2012
02.02.2009,2C_487/2008
21.02.2012,1B_64/2012
30.03.2012,9C_620/2011
11.10.2012,1C_504/2012
22.05.2008,5A_159/2008
09.09.2009,2C_500/2009
20.11.2008,1C_258/2008
28.06.2012,8C_923/2011
20.10.2011,4A_439/2010
05.02.2014,1B_50/2014
02.09.2011,1B_286/2011
06.02.2009,9C_704/2008
05.03.2013,1C_241/2013
10.02.2012,9C_729/2011
23.03.2015,4D_10/2015
29.06.2009,2C_408/2009
20.08.2008,1C_350/2008
15.01.2010,2C_409/2009
18.02.2010,1C_95/2010
16.02.2011,2C_106/2011
20.05.2008,4D_56/2008
02.09.2008,8C_16/2008
04.06.2008,1B_60/2008
21.10.2011,1B_527/2011
09.02.2007,6A.1/2007
25.09.2008,8C_663/2008
17.07.2015,2C_202/2015
14.12.2015,8C_499/2015
14.12.2016,5A_955/2016
09.04.2008,5A_733/2007
13.12.2016,6B_607/2016
17.12.2007,1C_432/2007
04.09.2008,8C_545/2008
09.03.2007,1A.280/2006
20.12.2016,9F_8/2016
04.10.2012,1B_385/2012
22.07.2008,9C_382/2008
04.11.2011,1B_601/2011
14.08.2008,5A_444/2008
12.12.2016,5D_205/2016
17.02.2012,9C_595/2011
20.09.2011,1B_466/2011
03.02.2012,2C_775/2011
15.12.2009,9C_1006/2009
24.06.2009,2C_186/2009
25.03.2015,8C_780/2014
05.09.2008,9C_422/2008
03.09.2012,8C_176/2012
27.06.2013,1C_393/2013
22.06.2015,5A_490/2015
17.06.2010,6B_433/2010
25.10.2011,5A_469/2011
13.05.2014,5A_121/2014
04.05.2012,8C_568/2011
26.01.2009,5A_846/2008
30.08.2012,2C_737/2012
26.01.2012,1B_47/2012
14.02.2014,8C_857/2013
25.02.2008,2C_550/2007
07.05.2010,2C_835/2009
14.08.2008,8C_532/2008
15.08.2011,1B_410/2011
04.09.2008,2C_627/2008
25.10.2011,2C_257/2011
14.06.2012,9C_200/2012
12.05.2011,6B_300/2011
07.11.2016,6B_1150/2016
09.12.2008,9C_856/2008
18.08.2010,9C_235/2010
01.04.2010,1B_97/2010
05.05.2008,8C_201/2008
07.12.2007,6B_661/2007
17.03.2015,1C_139/2014
03.04.2009,5A_182/2009
12.03.2012,8C_192/2012
20.04.2011,8C_97/2011
19.06.2009,8C_277/2009
14.06.2012,1C_301/2012
17.03.2012,2C_215/2012
14.06.2011,8C_96/2011
14.02.2008,1D_20/2007
06.11.2015,5A_680/2015
20.04.2012,9C_309/2012
17.09.2013,1C_182/2013
08.05.2012,9C_308/2012
25.03.2010,6B_110/2010
17.03.2009,5A_110/2009
20.06.2011,5A_706/2010
09.07.2008,9C_545/2007
12.03.2010,1C_523/2009
05.06.2008,5A_209/2008
02.12.2008,5D_137/2008
05.06.2008,5A_208/2008
12.12.2016,2C_974/2016
06.04.2010,2C_221/2010
13.12.2016,6B_491/2016
20.08.2013,1C_433/2012
20.12.2016,4A_722/2016
01.02.2012,1B_30/2012
14.12.2016,6B_1262/2016
04.07.2008,8C_248/2008
10.03.2011,8C_1037/2010
22.08.2008,2C_593/2008
14.06.2007,9C_18/2007
28.04.2008,1B_84/2008
04.07.2014,6B_466/2014
13.07.2016,8C_476/2016
14.06.2010,5A_762/2009
29.04.2010,5A_174/2010
21.01.2013,1B_488/2012
17.08.2010,2C_635/2010
07.03.2008,6B_17/2008
13.12.2011,5A_854/2011
05.06.2014,6B_1104/2013
30.04.2007,6A.90/2006
11.06.2013,1C_237/2013
15.04.2008,8C_251/2007
22.05.2008,5A_86/2008
11.08.2008,1C_141/2008
17.10.2012,1B_580/2012
14.03.2008,4D_21/2008
08.06.2012,9C_340/2012
22.04.2010,9C_868/2009
16.07.2012,2C_693/2012
07.05.2009,6B_380/2009
03.08.2015,5A_207/2015
20.10.2011,6B_274/2011
03.03.2014,1B_80/2014
08.07.2011,5A_463/2011
02.05.2008,5A_275/2008
11.11.2015,1B_334/2015
17.10.2014,2D_44/2014
22.04.2010,9C_731/2009
14.06.2016,1B_182/2016
10.03.2014,6B_1039/2013
07.06.2011,9C_473/2010
11.10.2013,1C_757/2013
20.11.2007,1C_399/2007
14.10.2013,6B_878/2013
17.05.2010,1F_10/2010
03.04.2007,2C_36/2007
03.12.2008,5A_720/2008
11.04.2008,1B_22/2008
15.12.2008,1C_421/2008
06.03.2012,1C_6/2012
31.03.2011,1B_138/2011
18.04.2012,1C_189/2012
26.02.2008,5A_739/2007
13.08.2008,5A_21/2008
06.09.2012,6B_505/2012
12.05.2009,5A_202/2009
08.08.2008,8C_181/2008
09.05.2011,5A_673/2010
12.02.2010,4D_153/2009
01.12.2008,5A_769/2008
13.12.2016,6B_1278/2016
24.02.2009,5A_125/2009
03.03.2011,2C_740/2010
13.12.2016,4A_370/2016
26.04.2011,4A_110/2011
16.10.2007,9C_571/2007
25.09.2008,8C_668/2008
11.12.2012,2C_513/2012
10.07.2012,4D_33/2012
24.08.2009,2C_402/2009
14.05.2007,4C.358/2006
05.09.2012,9C_235/2012
08.07.2013,1C_617/2013
16.12.2015,6B_1151/2014
13.12.2012,1B_708/2012
05.08.2010,9C_532/2010
20.07.2010,1B_194/2010
04.11.2008,2C_789/2008
15.10.2007,1C_343/2007
30.04.2008,2C_699/2007
13.08.2008,2C_120/2008
23.07.2012,9C_80/2012
20.07.2012,8C_569/2012
04.04.2016,8C_19/2016
12.10.2010,2C_551/2010
18.07.2012,2C_698/2012
10.08.2016,6B_550/2016
22.12.2008,4A_517/2008
18.03.2010,2C_788/2009
30.10.2013,2D_53/2013
12.03.2012,4A_82/2012
22.03.2010,9C_569/2009
16.03.2010,5A_660/2009
15.04.2008,6B_5/2008
23.10.2007,2C_580/2007
15.06.2007,4A_67/2007
07.11.2011,1B_453/2011
07.04.2014,5A_186/2014
09.08.2007,6B_376/2007
23.06.2014,1C_897/2013
02.12.2011,8C_632/2011
18.02.2010,6B_920/2009
27.05.2013,2C_220/2013
19.10.2011,4A_393/2011
13.12.2016,8C_927/2015
06.11.2012,2C_1073/2012
13.12.2016,9F_10/2016
11.04.2008,2C_270/2008
08.10.2008,1C_365/2008
17.02.2015,8C_65/2015
02.06.2008,8C_302/2008
09.06.2009,4A_40/2009
28.07.2008,4A_191/2008
22.03.2012,8C_227/2011
29.04.2011,9C_249/2011
01.04.2009,4A_41/2009
01.04.2009,1C_188/2007
06.02.2015,6B_80/2015
20.04.2007,5A_9/2007
10.06.2014,8C_746/2013
29.02.2012,9C_164/2012
27.02.2009,8C_833/2008
07.03.2011,1B_78/2011
12.07.2012,9C_538/2012
18.06.2012,6B_241/2012
20.10.2011,1B_581/2011
12.11.2012,1C_530/2012
19.04.2007,6G_1/2007
01.03.2007,4C.192/2006
03.07.2014,8C_12/2014
08.11.2011,2C_865/2011
23.04.2012,5A_816/2011
13.03.2014,4A_546/2013
11.10.2015,2C_907/2015
22.10.2007,5A_380/2007
10.05.2012,4A_58/2012
14.06.2011,4A_240/2011
26.03.2009,9C_35/2009
19.11.2008,5A_498/2008
05.08.2008,9F_6/2008
02.08.2007,2D_29/2007
08.04.2015,1B_116/2015
02.10.2014,6B_779/2014
28.07.2011,8C_526/2011
07.08.2015,6B_352/2015
09.09.2008,9F_7/2008
03.09.2014,8C_209/2014
03.06.2008,5D_30/2008
02.09.2008,6B_641/2008
13.09.2007,5F_8/2007
26.02.2008,5A_588/2007
20.06.2008,6B_173/2008
20.06.2008,1B_150/2008
29.04.2008,4D_50/2008
20.06.2011,8C_214/2011
02.05.2016,6B_382/2016
03.04.2009,5A_674/2007
28.07.2008,1B_227/2007
03.07.2012,1B_251/2012
05.05.2008,8C_238/2008
20.05.2010,5A_362/2010
02.03.2009,4D_26/2009
10.02.2009,6B_9/2009
08.09.2009,1C_320/2009
23.10.2007,9C_613/2007
15.07.2010,6B_246/2010
16.02.2012,2C_143/2012
15.05.2009,8C_347/2009
20.10.2008,9C_643/2008
28.07.2008,2C_390/2008
16.02.2009,1C_65/2009
23.04.2009,9C_642/2008
12.12.2011,2C_587/2011
26.02.2014,6B_1253/2013
27.05.2008,9C_534/2007
11.09.2007,5A_34/2007
07.06.2010,6B_161/2010
22.05.2012,9C_379/2012
14.12.2016,6B_498/2016
24.09.2007,2C_281/2007
03.09.2008,8C_59/2008
18.08.2009,2C_375/2009
16.12.2016,2C_1067/2016
08.12.2016,6B_199/2016
05.12.2008,4D_129/2008
26.08.2010,6B_652/2010
16.01.2009,5D_78/2008
16.06.2011,6B_278/2011
08.12.2016,2C_307/2016
09.12.2016,2D_51/2016
20.11.2012,1F_29/2012
29.11.2007,4A_306/2007
26.03.2012,9C_500/2011
04.06.2012,1B_311/2012
12.12.2012,2E_3/2012
03.05.2011,8C_133/2011
05.02.2008,5A_734/2007
25.03.2011,9C_577/2010
21.12.2007,2C_747/2007
30.01.2009,2C_299/2008
08.04.2009,9C_106/2009
13.05.2015,5A_151/2015
18.07.2011,4D_34/2011
28.12.2015,8C_762/2015
10.04.2012,2C_984/2011
27.02.2008,2C_165/2008
14.04.2008,5A_116/2008
22.12.2011,9C_898/2011
10.01.2014,1B_455/2013
12.06.2012,2C_797/2011
12.08.2016,8C_203/2016
05.09.2011,5A_583/2011
09.10.2014,6B_212/2014
02.11.2007,4G_2/2007
01.06.2010,1B_135/2010
07.03.2007,4C.65/2007
28.04.2016,5A_302/2016
29.05.2009,9C_384/2009
16.12.2015,2C_1117/2015
23.04.2012,5A_889/2011
30.08.2012,2C_388/2012
14.05.2007,5A_179/2007
17.05.2007,6B_155/2007
23.07.2015,2C_332/2015
12.08.2016,1B_296/2016
03.05.2012,4A_161/2012
18.05.2007,6B_154/2007
22.10.2012,2D_61/2012
09.12.2016,6B_771/2016
09.09.2008,2C_621/2008
04.11.2009,1C_178/2009
07.05.2012,9C_206/2012
08.12.2016,2C_662/2016
08.12.2016,5A_748/2016
09.05.2011,2C_250/2011
15.02.2007,1B_2/2007
16.12.2016,8C_470/2016
02.11.2016,4A_557/2016
19.12.2012,2C_1250/2012
30.08.2012,2C_280/2012
16.04.2008,8C_316/2007
14.12.2016,6B_205/2016
14.10.2016,1F_34/2016
17.08.2012,2C_429/2012
27.04.2010,6B_184/2010
10.11.2007,6B_666/2007
30.08.2016,9C_516/2016
05.09.2012,1F_17/2012
28.04.2008,9C_800/2007
25.03.2008,2P.64/2007
13.02.2008,2C_325/2007
16.05.2007,2C_143/2007
17.09.2015,1C_455/2015
02.12.2013,4A_338/2013
09.12.2015,1C_633/2015
02.05.2013,1F_16/2012
03.03.2015,8C_21/2015
13.11.2007,4A_339/2007
29.11.2012,2C_1177/2012
22.07.2011,1B_265/2011
26.12.2008,6B_636/2008
15.07.2008,6B_450/2008
13.05.2014,5A_22/2014
30.07.2010,6B_591/2010
20.03.2012,4D_98/2011
14.02.2012,5D_28/2012
25.06.2009,6B_386/2009
20.02.2015,4A_645/2014
25.01.2010,1B_8/2010
31.10.2007,5A_603/2007
30.03.2008,6B_197/2008
07.04.2014,4A_219/2014
31.03.2008,2D_142/2007
16.05.2008,6B_196/2008
07.04.2008,1B_82/2008
09.03.2011,6B_129/2011
18.09.2009,5A_231/2009
15.01.2010,2D_1/2010
27.03.2014,6B_942/2013
28.12.2009,5A_809/2009
28.02.2008,5A_13/2008
14.04.2014,8C_57/2014
07.07.2014,5A_545/2014
29.10.2012,2C_135/2012
09.02.2009,9C_95/2008
30.01.2012,2C_46/2012
30.12.2010,5A_919/2010
28.09.2010,1D_7/2010
19.04.2012,1B_213/2012
29.07.2009,4A_196/2009
12.10.2009,9C_458/2009
02.12.2014,2C_1087/2014
09.06.2016,8C_376/2016
20.03.2012,4A_499/2011
31.01.2014,1B_15/2014
12.05.2015,9C_252/2015
04.12.2007,1C_297/2007
23.12.2009,4D_154/2009
22.10.2007,2A.756/2006
07.09.2011,2C_670/2011
16.10.2009,8C_397/2009
12.07.2012,9C_440/2012
06.05.2008,1C_172/2008
12.01.2012,1B_8/2012
18.12.2007,9C_834/2007
17.12.2015,5A_996/2015
24.07.2009,5D_97/2009
21.12.2015,5A_761/2015
12.02.2008,2C_645/2007
03.06.2013,1C_537/2013
20.06.2008,1B_264/2007
14.05.2008,9C_397/2007
24.03.2015,2C_246/2015
31.03.2016,2C_689/2015
10.06.2011,2C_325/2011
10.09.2010,1F_16/2010
08.07.2016,5D_101/2016
21.03.2012,1B_90/2012
15.12.2016,6B_532/2016
14.12.2016,6B_551/2016
31.03.2008,2C_563/2007
08.12.2016,2C_1015/2015
26.10.2009,9C_880/2009
09.07.2007,5A_223/2007
23.02.2007,5P.19/2007
09.11.2007,6B_652/2007
08.12.2016,6B_12/2016
17.02.2011,1B_40/2011
22.07.2008,6B_524/2008
26.11.2009,5A_718/2009
30.10.2014,5A_833/2014
03.09.2014,1B_297/2014
22.04.2010,9C_812/2009
08.02.2012,6B_90/2012
18.09.2008,5A_509/2008
03.05.2010,6B_345/2010
07.01.2008,4A_477/2007
02.12.2008,6B_926/2008
14.12.2016,8C_945/2015
16.10.2012,1B_607/2012
06.02.2007,1P.28/2007
13.06.2016,9C_258/2016
30.10.2012,1B_606/2012
18.03.2013,1C_333/2012
10.04.2014,8C_812/2013
28.04.2008,6B_284/2008
07.08.2008,8C_483/2007
04.03.2011,5A_858/2010
28.12.2011,2C_1040/2011
11.02.2009,5A_19/2009
30.09.2014,6B_514/2014
18.08.2008,4A_254/2008
10.09.2013,1C_48/2013
11.03.2011,4D_131/2010
05.01.2009,2C_662/2008
12.10.2010,6B_803/2010
26.06.2014,6B_358/2014
18.06.2015,6B_514/2015
28.11.2012,2C_358/2012
26.06.2013,1B_135/2013
16.05.2008,2C_17/2008
23.09.2014,5D_142/2014
22.02.2008,1F_5/2008
03.04.2014,9C_593/2013
19.02.2013,1C_155/2013
30.03.2012,6B_74/2012
18.06.2007,5A_255/2007
24.08.2011,1B_367/2011
05.08.2009,5A_508/2009
06.05.2008,2C_337/2008
18.03.2009,5A_719/2008
30.10.2012,1B_416/2012
02.04.2008,4A_400/2007
08.12.2016,6B_1304/2016
28.10.2013,1C_509/2013
11.05.2010,4A_184/2010
08.12.2016,1B_228/2016
24.03.2010,1B_2/2010
28.10.2014,4F_13/2014
09.05.2008,6B_89/2008
22.12.2009,2C_60/2009
27.07.2011,9C_535/2011
14.12.2016,9C_569/2016
08.04.2009,1C_582/2008
15.12.2016,8C_651/2016
25.10.2007,2D_55/2007
13.06.2007,4A_61/2007
23.08.2010,5A_217/2010
20.06.2010,2C_265/2010
16.04.2010,5A_130/2010
11.02.2009,4D_9/2009
21.11.2007,5D_123/2007
26.06.2009,8C_1029/2008
15.02.2010,6B_799/2009
05.07.2016,8C_432/2016
02.06.2008,5A_749/2007
12.10.2012,1B_557/2012
12.12.2008,9C_550/2008
04.03.2011,5G_1/2011
07.10.2014,4D_55/2014
22.08.2008,1C_197/2008
22.12.2009,2C_838/2009
22.06.2009,2C_201/2009
23.04.2015,9C_224/2015
28.05.2008,5A_204/2008
06.09.2012,2C_383/2012
05.11.2013,1B_389/2013
02.08.2011,2C_606/2011
24.07.2014,5A_594/2014
26.10.2010,2C_815/2010
28.07.2008,9C_843/2007
25.07.2014,2C_128/2014
14.03.2014,4A_134/2014
02.10.2009,4D_81/2009
27.03.2014,4A_448/2013
30.05.2013,1C_541/2013
01.04.2009,4A_46/2009
04.05.2016,4A_35/2016
08.09.2008,8C_651/2008
01.02.2010,2C_309/2009
14.04.2008,8C_741/2007
26.11.2015,5F_9/2015
07.04.2008,8C_444/2007
30.03.2010,6B_219/2010
28.01.2013,1B_20/2013
04.12.2014,2C_779/2014
20.02.2008,2C_751/2007
08.04.2015,4A_128/2015
23.10.2009,8C_319/2009
28.12.2010,2C_977/2010
26.02.2008,9C_36/2007
29.09.2009,9C_622/2009
12.03.2008,6B_607/2007
19.10.2011,9C_679/2011
07.12.2015,2C_607/2015
18.07.2012,5D_92/2012
11.02.2010,2C_559/2009
04.01.2010,4A_544/2009
07.06.2012,5D_93/2012
04.01.2010,4A_545/2009
19.03.2010,1B_62/2010
29.04.2011,2C_338/2011
19.03.2010,9C_847/2009
06.08.2007,2C_297/2007
09.04.2015,6B_296/2015
29.04.2014,6B_273/2014
24.07.2013,2C_658/2013
17.07.2012,5A_201/2012
07.04.2008,9C_166/2008
27.08.2012,6B_325/2012
02.06.2008,4A_127/2008
15.12.2016,6B_1380/2016
06.08.2008,8C_487/2008
08.12.2011,1F_35/2011
14.12.2016,4A_651/2016
22.12.2008,8C_486/2008
24.06.2011,9C_457/2011
15.06.2007,1P.430/2006
14.02.2012,2C_155/2012
15.02.2010,6B_1097/2009
15.06.2011,1B_297/2011
08.12.2016,2C_904/2015
08.12.2016,2C_538/2016
03.02.2012,5A_657/2011
27.02.2008,1C_55/2007
10.02.2011,4A_212/2010
02.10.2015,5A_552/2015
20.10.2015,1B_367/2015
11.12.2007,5A_662/2007
05.02.2015,9C_21/2015
08.07.2013,2C_610/2013
30.09.2010,8C_628/2010
28.02.2008,6B_213/2007
17.12.2008,8C_884/2008
27.09.2011,5A_303/2011
12.08.2008,5A_514/2008
16.10.2012,1G_8/2012
16.11.2011,1B_537/2011
24.04.2015,1C_185/2015
27.07.2012,8C_504/2012
07.11.2012,1B_499/2012
28.09.2009,6B_302/2009
24.07.2014,8C_107/2014
11.03.2011,4D_7/2011
27.11.2009,5A_773/2009
27.01.2012,2C_64/2012
25.08.2008,5A_359/2008
02.04.2014,5A_261/2014
04.08.2008,9C_236/2008
30.05.2007,6B_6/2007
07.04.2008,8C_786/2007
28.10.2015,4A_442/2015
29.05.2015,5A_179/2015
02.07.2008,9C_505/2008
18.08.2010,8C_531/2010
03.08.2016,1C_155/2016
08.12.2016,6B_1063/2016
26.11.2012,2C_1160/2012
11.07.2008,5A_96/2008
