Datum,Aktenzeichen
19.10.2012,2C_1033/2012
29.04.2010,4A_64/2010
04.06.2009,8C_756/2008
04.12.2007,2D_81/2007
28.08.2012,8F_10/2012
20.08.2012,8F_11/2012
20.04.2010,5A_620/2009
13.10.2016,5A_653/2016
06.11.2009,4F_12/2009
04.06.2013,1B_363/2012
19.04.2010,8C_136/2010
24.04.2015,6B_369/2015
08.12.2016,2C_693/2016
30.04.2012,9C_291/2012
09.12.2016,8C_348/2016
16.12.2016,6B_1330/2016
03.09.2014,5A_667/2014
07.01.2016,2C_615/2014
24.08.2012,8C_364/2012
22.04.2010,6B_112/2010
03.06.2015,2C_496/2015
18.07.2008,8C_291/2008
02.03.2016,5A_874/2015
05.03.2008,6B_149/2008
28.12.2011,9C_939/2011
20.06.2012,8C_956/2011
08.07.2008,9C_897/2007
20.06.2014,6B_356/2014
25.03.2010,2C_688/2009
07.08.2008,6B_193/2008
17.09.2015,8C_396/2015
26.03.2014,9C_33/2014
13.03.2015,6B_52/2015
25.06.2012,6B_200/2012
19.12.2013,1C_905/2013
27.06.2014,8C_373/2014
03.06.2008,8C_63/2008
04.03.2011,2C_172/2011
03.06.2009,2D_35/2009
01.07.2010,2C_558/2010
06.08.2008,8C_707/2007
02.06.2008,1B_123/2008
15.11.2016,1C_480/2016
17.04.2015,4A_640/2014
21.12.2012,2F_23/2012
05.01.2016,1B_430/2015
14.02.2012,4A_2/2012
03.04.2014,1C_18/2014
09.02.2010,4A_607/2009
19.08.2010,4A_315/2010
17.11.2009,4A_503/2009
09.10.2015,8C_555/2015
20.03.2012,5A_12/2012
15.02.2012,8C_650/2011
19.08.2015,1B_260/2015
25.03.2014,4F_4/2014
12.12.2012,2D_47/2012
23.05.2013,1B_66/2013
22.04.2015,2C_314/2015
22.11.2012,2C_594/2012
19.02.2009,2C_606/2008
17.09.2007,8C_403/2007
22.12.2008,1C_574/2008
24.03.2011,5A_204/2011
05.03.2009,2D_134/2008
06.09.2016,8C_613/2012
26.05.2008,9C_68/2008
15.07.2014,1C_866/2013
03.12.2007,9C_698/2007
16.09.2014,5F_17/2014
10.09.2012,6B_363/2012
02.05.2008,6B_749/2007
29.04.2008,6B_296/2008
08.09.2008,9C_612/2008
18.01.2007,1P.751/2006
29.10.2010,5A_727/2010
13.12.2016,5A_325/2016
17.03.2009,1C_117/2009
12.10.2007,9C_424/2007
16.12.2016,6B_654/2016
14.02.2012,1C_65/2012
08.07.2008,2C_280/2008
20.03.2012,2C_806/2011
07.06.2014,2C_511/2014
30.10.2012,1B_532/2012
11.12.2007,5A_278/2007
01.09.2008,4D_92/2008
25.01.2012,2C_55/2012
22.11.2016,1C_431/2016
09.12.2016,5D_200/2016
08.12.2016,1B_289/2016
04.06.2008,8C_378/2007
04.01.2010,2E_2/2009
28.02.2008,1B_36/2008
07.09.2011,2C_151/2011
20.01.2016,6B_1286/2015
25.02.2014,8C_725/2013
06.08.2008,8C_724/2007
29.05.2009,2D_17/2009
29.12.2015,6B_1287/2015
23.10.2013,5A_624/2013
22.08.2012,5D_131/2012
12.12.2008,8C_453/2008
04.06.2014,8C_848/2013
13.09.2007,1C_217/2007
05.09.2008,8C_106/2008
08.11.2007,2C_303/2007
25.09.2007,2D_78/2007
21.10.2009,4G_2/2009
05.01.2009,4D_130/2008
15.06.2016,8C_191/2016
30.06.2008,5D_60/2008
07.10.2009,6F_4/2009
12.09.2016,6B_662/2016
22.10.2009,4D_130/2009
09.06.2009,2C_213/2009
16.04.2012,8C_270/2012
06.05.2008,5A_285/2008
15.06.2007,2A.80/2007
04.03.2014,4A_552/2013
19.05.2008,1C_184/2008
03.01.2008,5A_4/2008
23.04.2012,2C_303/2012
12.10.2009,4A_395/2009
