,Time,Magnitude,Place,Coordinates,Long,Lat
16,2020-04-18 08:25:37.052,6.6,"Bonin Islands, Japan region","[140.1349, 27.1264, 453]",140.1349,27.1264
17,2020-05-12 22:41:12.177,6.6,"175 km SSE of Lata, Solomon Islands","[166.6485, -12.0665, 107]",166.6485,-12.0665
18,2020-06-13 15:51:24.069,6.6,"130 km WNW of Naze, Japan","[128.2713, 28.8591, 165]",128.2713,28.8591
19,2020-07-06 22:54:47.538,6.6,"97 km N of Batang, Indonesia","[110.6893, -5.6023, 533.76]",110.6893,-5.6023
20,2020-08-18 00:03:48.566,6.6,"13 km E of San Pedro, Philippines","[124.1272, 12.0257, 10]",124.1272,12.0257
21,2020-03-31 23:52:30.781,6.5,"70km W of Challis, Idaho","[-115.1175, 44.4646, 12.06]",-115.1175,44.4646
22,2020-05-02 12:51:05.561,6.5,"91 km S of Néa Anatolí, Greece","[25.7101, 34.1818, 10]",25.7101,34.1818
23,2020-05-15 11:03:27.176,6.5,"Monte Cristo Range, NV Earthquake","[-117.8497, 38.1689, 2.7]",-117.8497,38.1689
24,2020-08-30 21:20:29.757,6.5,central Mid-Atlantic Ridge,"[-29.8656, 0.7821, 10]",-29.8656,0.7821
25,2020-09-01 21:09:17.626,6.5,"94 km NW of Vallenar, Chile","[-71.3716, -27.9154, 14.52]",-71.3716,-27.9154
26,2020-01-07 08:24:25.262,6.4,"13km S of Indios, Puerto Rico","[-66.8266, 17.8686, 8.95]",-66.8266,17.8686
27,2020-01-09 08:38:08.278,6.4,"Chukotskiy Avtonomnyy Okrug, Russia","[171.0611, 62.358, 10]",171.0611,62.358
28,2020-03-14 10:01:17.118,6.4,Kermadec Islands region,"[-175.6102, -27.367, 11]",-175.6102,-27.367
29,2020-06-04 08:49:40.397,6.4,"133 km NNE of Tobelo, Indonesia","[128.248, 2.911, 112.86]",128.248,2.911
30,2020-07-26 00:53:59.061,6.4,South Sandwich Islands region,"[-25.413, -60.7833, 10]",-25.413,-60.7833
31,2020-08-01 17:09:02.120,6.4,"10 km WSW of Polloc, Philippines","[124.1377, 7.2997, 485.35]",124.1377,7.2997
32,2020-08-05 12:05:36.264,6.4,"70 km E of Lakatoro, Vanuatu","[168.078, -16.0919, 178.9]",168.078,-16.0919
33,2020-09-15 03:41:28.012,6.4,"15 km W of Esso, Russia","[158.4539, 55.9268, 344]",158.4539,55.9268
34,2020-01-07 06:05:19.759,6.3,"14km S of Sinabang, Indonesia","[96.3575, 2.3481, 17]",96.3575,2.3481
35,2020-01-27 05:02:01.704,6.3,"102km WNW of Kirakira, Solomon Islands","[161.0606, -10.0929, 21]",161.0606,-10.0929
36,2020-04-19 20:39:05.639,6.3,"31 km SE of Ōfunato, Japan","[142.0049, 38.8953, 38]",142.0049,38.8953
37,2020-06-25 21:05:18.140,6.3,"278 km SE of Hotan, China","[82.4158, 35.5948, 10]",82.4158,35.5948
38,2020-07-22 20:07:19.194,6.3,western Xizang,"[86.8637, 33.1438, 10]",86.8637,33.1438
39,2020-08-06 23:36:44.553,6.3,Prince Edward Islands region,"[42.4486, -41.6794, 10]",42.4486,-41.6794
40,2020-09-01 04:30:02.198,6.3,"78 km NW of Vallenar, Chile","[-71.2874, -28.0385, 16.53]",-71.2874,-28.0385
41,2020-09-06 01:16:58.930,6.3,"45 km NW of Ovalle, Chile","[-71.5642, -30.3355, 30.71]",-71.5642,-30.3355
42,2020-09-06 15:23:43.148,6.3,"17 km E of Talagutong, Philippines","[125.8285, 6.2693, 120]",125.8285,6.2693
43,2020-01-23 05:53:02.618,6.2,"22km ENE of Tanaga Volcano, Alaska","[-177.855, 51.9836, 10]",-177.855,51.9836
44,2020-02-05 18:12:37.734,6.2,"108km NNE of Krajan Pangkah Kulon, Indonesia","[113.0778, -6.0817, 592.42]",113.0778,-6.0817
45,2020-03-18 17:45:39.299,6.2,"245km S of Kangin, Indonesia","[115.1378, -11.0521, 20.68]",115.1378,-11.0521
46,2020-05-27 07:09:09.853,6.2,"51 km WNW of Port-Vila, Vanuatu","[167.8743, -17.5304, 9.73]",167.8743,-17.5304
47,2020-06-13 21:08:30.503,6.2,"Pagan region, Northern Mariana Islands","[145.1116, 18.9317, 622]",145.1116,18.9317
48,2020-07-06 18:16:18.418,6.2,"257 km N of Fais, Micronesia","[140.2476, 12.0809, 10]",140.2476,12.0809
49,2020-08-25 19:08:52.908,6.2,"141 km SSW of Kokopo, Papua New Guinea","[151.8365, -5.5454, 22]",151.8365,-5.5454
50,2020-09-06 02:59:15.559,6.2,"101 km NW of Port-Vila, Vanuatu","[167.5791, -17.1497, 8.24]",167.5791,-17.1497
51,2020-09-11 07:35:57.195,6.2,"82 km NNE of Tocopilla, Chile","[-69.9093, -21.3957, 51]",-69.9093,-21.3957
52,2020-01-19 16:58:20.002,6.1,"57km SSW of Molibagu, Indonesia","[123.8025, -0.1042, 121.72]",123.8025,-0.1042
53,2020-01-20 06:51:37.818,6.1,"25km SSE of Bristol Island, South Sandwich Islands","[-26.282, -59.2277, 93]",-26.282,-59.2277
54,2020-01-26 06:31:55.398,6.1,"56km WSW of Amatignak Island, Alaska","[-179.8892, 51.1338, 17]",-179.8892,51.1338
55,2020-01-28 21:55:16.450,6.1,"55km SE of East End, Cayman Islands","[-80.7411, 18.9457, 10]",-80.7411,18.9457
56,2020-02-09 06:04:29.967,6.1,"126km S of Kokopo, Papua New Guinea","[152.1522, -5.4925, 34]",152.1522,-5.4925
57,2020-03-18 03:13:45.742,6.1,"100km NW of Sola, Vanuatu","[167.0277, -13.1364, 176]",167.0277,-13.1364
58,2020-03-22 22:38:04.810,6.1,Central East Pacific Rise,"[-104.9519, -4.6744, 10]",-104.9519,-4.6744
59,2020-03-26 15:38:04.089,6.1,"27km SW of Burias, Philippines","[125.0521, 5.5669, 59]",125.0521,5.5669
60,2020-04-12 06:57:47.541,6.1,"97km N of Amsterdam Island, France","[77.393, -36.9558, 10]",77.393,-36.9558
61,2020-04-16 08:04:37.829,6.1,"59 km NNE of Savannah Bight, Honduras","[-85.6851, 16.9591, 12]",-85.6851,16.9591
62,2020-04-25 02:53:06.698,6.1,"140 km W of Panguna, Papua New Guinea","[154.2347, -6.5337, 19]",154.2347,-6.5337
63,2020-05-07 11:21:20.152,6.1,"215 km NNW of Arawa, Papua New Guinea","[154.741, -4.4643, 471.17]",154.741,-4.4643
64,2020-05-22 08:46:06.973,6.1,"173 km ESE of La Playa, Mexico","[-108.1275, 22.4152, 10]",-108.1275,22.4152
65,2020-05-31 05:09:38.593,6.1,"43 km W of Lampa, Peru","[-70.7731, -15.3256, 186]",-70.7731,-15.3256
