,Politician,Google Search Results
0,"""Nationalrat Jean-Luc Addor""",Ungefähr 2’180 Ergebnisse (0.46 Sekunden) 
1,"""Nationalrat Andreas Aebi""",Ungefähr 1’450 Ergebnisse (0.42 Sekunden) 
2,"""Nationalrat Matthias Aebischer""",Ungefähr 3’350 Ergebnisse (0.39 Sekunden) 
3,"""Nationalrat Thomas Aeschi""",Ungefähr 14’500 Ergebnisse (0.43 Sekunden) 
4,"""Nationalrat Céline Amaudruz""",Ungefähr 45 Ergebnisse (0.42 Sekunden) 
5,"""Nationalrat Gerhard Andrey""",Ungefähr 381 Ergebnisse (0.38 Sekunden) 
6,"""Nationalrat Sibel Arslan""",Ungefähr 39 Ergebnisse (0.43 Sekunden) 
7,"""Nationalrat Mustafa Atici""",Ungefähr 725 Ergebnisse (0.43 Sekunden) 
8,"""Nationalrat Christine Badertscher""",Ungefähr 4 Ergebnisse (0.34 Sekunden) 
9,"""Nationalrat Jacqueline Badran""",Ungefähr 94 Ergebnisse (0.41 Sekunden) 
10,"""Nationalrat Angelo Barrile""",Ungefähr 5’620 Ergebnisse (0.44 Sekunden) 
11,"""Nationalrat Kilian Baumann""",Ungefähr 1’500 Ergebnisse (0.42 Sekunden) 
12,"""Nationalrat Martin Bäumle""",Ungefähr 2’010 Ergebnisse (0.48 Sekunden) 
13,"""Nationalrat Judith Bellaïche""",4 Ergebnisse (0.31 Sekunden) 
14,"""Nationalrat Samuel Bendahan""",Ungefähr 363 Ergebnisse (0.53 Sekunden) 
15,"""Nationalrat Kathrin Bertschy""",10 Ergebnisse (0.48 Sekunden) 
16,"""Nationalrat Marianne Binder-Keller""",Ungefähr 5 Ergebnisse (0.31 Sekunden) 
17,"""Nationalrat Martina Bircher""",1 Ergebnis (0.27 Sekunden) 
18,"""Nationalrat Prisca Birrer-Heimo""",Ungefähr 62 Ergebnisse (0.38 Sekunden) 
19,"""Nationalrat Frédéric Borloz""",Ungefähr 129 Ergebnisse (0.42 Sekunden) 
20,"""Nationalrat Jacques Bourgeois""",Ungefähr 1’880 Ergebnisse (0.41 Sekunden) 
21,"""Nationalrat Philipp Matthias Bregy""",Ungefähr 1’730 Ergebnisse (0.40 Sekunden) 
22,"""Nationalrat Daniel Brélaz""",Ungefähr 808 Ergebnisse (0.39 Sekunden) 
23,"""Nationalrat Florence Brenzikofer""",5 Ergebnisse (0.42 Sekunden) 
24,"""Nationalrat Thomas Brunner""",Ungefähr 700 Ergebnisse (0.45 Sekunden) 
25,"""Nationalrat Roland Rino Büchel""",Ungefähr 2’270 Ergebnisse (0.41 Sekunden) 
26,"""Nationalrat Michaël Buffat""",Ungefähr 357 Ergebnisse (0.39 Sekunden) 
27,"""Nationalrat Christine Bulliard-Marbach""",Ungefähr 3 Ergebnisse (0.40 Sekunden) 
28,"""Nationalrat Thomas Burgherr""",Ungefähr 2’700 Ergebnisse (0.41 Sekunden) 
29,"""Nationalrat Martin Candinas""",Ungefähr 33’400 Ergebnisse (0.42 Sekunden) 
30,"""Nationalrat Rocco Cattaneo""",Ungefähr 309 Ergebnisse (0.42 Sekunden) 
31,"""Nationalrat Isabelle Chevalley""",Ungefähr 387 Ergebnisse (0.41 Sekunden) 
32,"""Nationalrat Katja Christ""",Ungefähr 9 Ergebnisse (0.32 Sekunden) 
33,"""Nationalrat Christophe Clivaz""",Ungefähr 422 Ergebnisse (0.33 Sekunden) 
34,"""Nationalrat Damien Cottier""",Ungefähr 120 Ergebnisse (0.32 Sekunden) 
35,"""Nationalrat Brigitte Crottaz""",Ungefähr 2’150 Ergebnisse (0.76 Sekunden) 
36,"""Nationalrat Christian Dandrès""",Ungefähr 23 Ergebnisse (0.33 Sekunden) 
37,"""Nationalrat Thomas de Courten""",Ungefähr 3’380 Ergebnisse (0.43 Sekunden) 
38,"""Nationalrat Denis de la Reussille""",Ungefähr 5’510 Ergebnisse (0.46 Sekunden) 
39,"""Nationalrat Simone de Montmollin""",1 Ergebnis (0.34 Sekunden) 
40,"""Nationalrat Jacqueline de Quattro""",2 Ergebnisse (0.34 Sekunden) 
