,Politician,Google Search Results
66,Andreas Glarner Ständerat,Ungefähr 23’000 Ergebnisse (0.36 Sekunden) 
67,Balthasar Glättli Ständerat,Ungefähr 14’100 Ergebnisse (0.36 Sekunden) 
68,Alois Gmür Ständerat,Ungefähr 8’670 Ergebnisse (0.47 Sekunden) 
69,Petra Gössi Ständerat,Ungefähr 26’400 Ergebnisse (0.41 Sekunden) 
70,Edith Graf-Litscher Ständerat,Ungefähr 14’300 Ergebnisse (0.45 Sekunden) 
71,Corina Gredig Ständerat,Ungefähr 2’420 Ergebnisse (0.41 Sekunden) 
72,Jean-Pierre Grin Ständerat,Ungefähr 9’840 Ergebnisse (0.31 Sekunden) 
73,Jürg Grossen Ständerat,Ungefähr 62’100 Ergebnisse (0.36 Sekunden) 
74,Franz Grüter Ständerat,Ungefähr 14’000 Ergebnisse (0.35 Sekunden) 
75,Jean-Paul Gschwind Ständerat,Ungefähr 6’350 Ergebnisse (0.52 Sekunden) 
76,Niklaus-Samuel Gugger Ständerat,Ungefähr 4’670 Ergebnisse (0.42 Sekunden) 
77,Lars Guggisberg Ständerat,Ungefähr 4’620 Ergebnisse (0.41 Sekunden) 
78,Diana Gutjahr Ständerat,Ungefähr 6’210 Ergebnisse (0.33 Sekunden) 
79,Barbara Gysi Ständerat,Ungefähr 12’200 Ergebnisse (0.39 Sekunden) 
80,Greta Gysin Ständerat,Ungefähr 1’620 Ergebnisse (0.42 Sekunden) 
81,Martin Haab Ständerat,Ungefähr 5’970 Ergebnisse (0.30 Sekunden) 
82,Alfred Heer Ständerat,Ungefähr 20’800 Ergebnisse (0.65 Sekunden) 
83,Stefanie Heimgartner Ständerat,Ungefähr 3’750 Ergebnisse (0.34 Sekunden) 
84,Verena Herzog Ständerat,Ungefähr 14’800 Ergebnisse (0.32 Sekunden) 
85,Erich Hess Ständerat,Ungefähr 16’900 Ergebnisse (0.43 Sekunden) 
86,Lorenz Hess Ständerat,Ungefähr 14’500 Ergebnisse (0.40 Sekunden) 
87,Alois Huber Ständerat,Ungefähr 19’800 Ergebnisse (0.33 Sekunden) 
