,Politician,Google Search Results
0,'Conseiller national Jean-Luc Addor',"About 59,000 results (0.38 seconds) "
1,'Nationalrat Andreas Aebi',"About 132,000 results (0.58 seconds) "
2,'Nationalrat Matthias Aebischer',"About 38,600 results (0.56 seconds) "
3,'Nationalrat Thomas Aeschi',"About 72,700 results (0.48 seconds) "
4,'Conseillère nationale Céline Amaudruz',"About 19,300 results (0.58 seconds) "
5,'Nationalrat Gerhard Andrey',"About 14,100 results (0.52 seconds) "
6,'Nationalrätin Sibel Arslan',"About 58,400 results (0.40 seconds) "
7,'Nationalrat Mustafa Atici',"About 5,250 results (0.46 seconds) "
8,'Nationalrätin Christine Badertscher',"About 8,570 results (0.42 seconds) "
9,'Nationalrätin Jacqueline Badran',"About 50,600 results (0.42 seconds) "
10,'Nationalrat Angelo Barrile',"About 24,500 results (0.54 seconds) "
11,'Nationalrat Kilian Baumann',"About 29,900 results (0.46 seconds) "
12,'Nationalrat Martin Bäumle',"About 33,800 results (0.63 seconds) "
13,'Nationalrätin Judith Bellaïche',"About 5,150 results (0.46 seconds) "
14,'Conseiller national Samuel Bendahan',"About 13,400 results (0.54 seconds) "
15,'Nationalrätin Kathrin Bertschy',"About 21,800 results (0.45 seconds) "
