0
University of Geneva - GE
"Non-profit organisations (libraries, museums, foundations) and administration - NPO"
University of Basel - BS
University of Fribourg - FR
University of Zurich - ZH
"Swiss Federal Institute for Forest, Snow and Landscape Research  - WSL"
University of Berne - BE
ETH Zurich - ETHZ
University of Lausanne - LA
University of Neuchatel - NE
Graduate Institute of International and Development Studies - IHEID
University of St.Gallen - SG
Other Research Institutes - FINST
Pädagogische Hochschule Graubünden - PHGR
EPF Lausanne - EPFL
Pädagogische Hochschule Zürich - PHZH
Companies/  Private Industry - FP
University of Lucerne - LU
Unassignable - NA
Swiss Institute of Art Research - SIK-ISEA
"Dipartimento formazione e apprendimento, Scuola universitaria professionale della Svizzera italiana - SUPSI-DFA"
University of Applied Sciences and Arts Western Switzerland - HES-SO
Robert Walser Foundation Bern - RWS
Paul Scherrer Institute - PSI
Pädagogische Hochschule St.Gallen - PHSG
Swiss Federal Institute of Aquatic Science and Technology - EAWAG
Swiss Federal Laboratories for Materials Science and Technology - EMPA
Physikal.-Meteorolog. Observatorium Davos - PMOD
Berne University of Applied Sciences - BFH
Swiss Center for Electronics and Microtech. - CSEM
University of Applied Sciences and Arts of Southern Switzerland - SUPSI
Luzerner Kantonsspital - LUKS
Other Hospitals - ASPIT
AO Research Institute - AORI
Swiss Institute of Allergy and Asthma Research - SIAF
Research Institute of Organic Agriculture - FiBL
Institute Friedrich Miescher - FMI
Ostschweizer Kinderspital - OSKS
Research Institutes Agroscope - AGS
Ente Ospedaliero Cantonale - EOC
Institute for Work and Health -  IST
Cantonal hospital of St.Gallen - KSPSG
Kantonsspital Aarau - KSPA
Swiss Federal Institute for Vocational Education and Training - EHB
Zürcher Fachhochschule - ZFH
Università della Svizzera italiana - USI
Institut für Kulturforschung Graubünden - IKG
University of Applied Sciences and Arts Northwestern Switzerland (without UTE) - FHNW
Institution abroad - IACH
Centre de recherche sur l'environnement alpin - CREALP
Idiap Research Institute - IDIAP
Pädagogische Hochschule Bern - PHBern
Zurich University of Applied Sciences - ZHAW
University Institute Kurt Bösch - IUKB
Swiss Paraplegic Research - SPF
Lucerne University of Applied Sciences and Arts - HSLU
Institute for Research in Ophtalmology - IRO
Interkantonale Hochschule für Heilpädagogik - HfH
Haute école pédagogique du canton de Vaud - HEPL
Kantonsspital Baden - KSPB
University of Applied Sciences Ostschweiz - FHO
Institut Suisse de Spéléologie et Karstologie - ISSKA
Swiss Institute of Bioinformatics - SIB
"Haute Ecole Pédagogique des cantons de Berne, du Jura et de Neuchâtel - HEP-BEJUNE"
Pädagogische Hochschule Luzern - PHLU
Zurich University of the Arts - ZHdK
""
Pädagogische Hochschule der Fachhochschule Nordwestschweiz - PH-FHNW
Pädagogische Hochschule Thurgau - PHTG
Haute école pédagogique du canton de Fribourg/Pädagogische Hochschule Freiburg - HEP-FR
Pädagogische Hochschule Schwyz - PHSZ
Biotechnology Institute Thurgau - BITG
Haute école pédagogique du Valais/Pädagogische Hochschule Wallis - HEP-VS
Kalaidos University of Applied Sciences - FHKD
Swiss Centre of Expertise in the Social Sciences - FORS
Pädagogische Hochschule Zug - PHZG
Istituto Ricerche Solari Locarno - IRSOL
Franklin University Switzerland - FUS
Pädagogische Hochschule Schaffhausen - PHSH
Staatsunabhängige Theologische Hochschule Basel - STH
Facoltà di Teologia di Lugano - FTL
Fernfachhochschule Schweiz (member of SUPSI) - FFHS
Cardiocentro Ticino - CT
Institute of Virology and Immunology - IVI
