Date,ID,URL,Valid Phish
Aug 3 2016 6:36 AM,4345398,http://www.creazionimilly.it/modules/blockcms/view/...,Unknown
Aug 3 2016 5:57 AM,4345210,http://www.oliotrevi.it/webservice/login.sso.bluewin.ch.php...,VALID PHISH
Aug 2 2016 7:53 AM,4338642,http://www.filipverneert.be/emielblogt/postfin/index.php...,Unknown
Aug 2 2016 7:53 AM,4338640,http://markapatenttescilim.com/mobil/css/account/image/ubes/3D/0fcedc9...,Unknown
Aug 2 2016 7:53 AM,4338639,http://markapatenttescilim.com/mobil/css/account/image/ubes/3D/...,Unknown
Aug 2 2016 7:53 AM,4338634,https://phpseded-ubessuis.rhcloud.com/i5.html,Unknown
Aug 2 2016 7:23 AM,4338297,http://www.acuntupdate.com/,Unknown
Aug 2 2016 7:22 AM,4338279,http://hitters.ml/kokill/index.php,VALID PHISH
Aug 2 2016 5:00 AM,4336764,http://internetbankierenloginservlet.ru/SesamLoginServlet.php...,VALID PHISH
Aug 2 2016 4:50 AM,4336674,http://ch0l04aiptbprvong2rmdhmhoxq55j2kch.mortgagebankasi.com/language...,Unknown
Aug 2 2016 4:49 AM,4336659,http://ebanking.mastercard.ch1.ubs.com.serversc.com.br/vias/imagens/.x...,VALID PHISH
Aug 2 2016 4:48 AM,4336653,https://www.tesdo.org/iTunes/Progress-to-access-login.php...,Unknown
Aug 1 2016 7:55 AM,4330793,http://exatactical.com/errors/UBS1.htm,Unknown
Aug 1 2016 7:54 AM,4330792,http://thatcheappainter.net/errors/ubs.php,Unknown
Aug 1 2016 7:13 AM,4330779,http://pypl-info.com/home/37fa2a1dda21611283284562360e9241/mpp/update/...,VALID PHISH
Aug 1 2016 7:13 AM,4330778,http://pypl-info.com/index.php,VALID PHISH
Aug 1 2016 6:22 AM,4330767,http://nadel-decijalinija.org/wp-content/uploads/layerslider/secure-do...,VALID PHISH
Jul 31 2016 6:12 PM,4330253,http://ebanking.mastercard.ch1.ubs.com.workbench.WorkbenchOpenAction.d...,Unknown
Jul 31 2016 6:12 PM,4330252,http://chdeatflczjh0btje0i4zwhvjog4vh2mn07schdeat.ilyasucar.com/langua...,Unknown
Jul 31 2016 6:12 PM,4330251,http://obecohradzany.sk/tmp/pfinance/p.php,VALID PHISH
Aug 24 2016 10:55 AM,4403940,http://fsdfsdfds.casinohighrollers.org/.mnb/index.php...,Unknown
Aug 24 2016 8:27 AM,4403762,http://cibelle.com/-/,VALID PHISH
Aug 24 2016 7:10 AM,4403650,http://apple-inc-support-team.bwacustica.com.br/...,VALID PHISH
Aug 24 2016 7:09 AM,4403649,http://quathoinuoccool1.vn/components/com_mailto/helpers/allah-akbar.p...,Unknown
Aug 24 2016 6:15 AM,4403548,http://abc.hanu.vn/tmp/,VALID PHISH
Aug 24 2016 5:01 AM,4403424,http://agb-autoricardo.ch,VALID PHISH
Aug 24 2016 4:35 AM,4403379,http://bekhuisbouw.nl/wp-admin/js/love.php,Unknown
Aug 24 2016 4:34 AM,4403378,http://www.bestenservices.hol.es/araba.htm,Unknown
Aug 23 2016 12:14 PM,4401279,http://merchant-support-inc.info,VALID PHISH
Aug 23 2016 11:28 AM,4401190,http://postfinan.net/post-6/dbce3e1a6895f4779bcc5bd834474c4d/...,Unknown
Aug 23 2016 11:28 AM,4401189,http://postfinan.net/post-6/,Unknown
Aug 23 2016 7:52 AM,4400893,http://restodijon.com/webservice/service/blue/...,VALID PHISH
Aug 23 2016 7:31 AM,4400799,http://kundenservice.ch.casinohighrollers.org/images/.x/vch/index.php...,VALID PHISH
Aug 23 2016 6:37 AM,4400664,http://www.miarhaths.dac.edu.bd/administrator/network/data/new/new/...,VALID PHISH
Aug 22 2016 5:42 PM,4399416,http://u4902631.isphuset.no/viseca/,VALID PHISH
Aug 22 2016 5:32 PM,4399397,http://blogdnastase.joomladevspace.com/nSend/,VALID PHISH
Aug 22 2016 5:32 PM,4399396,http://www.terradarneo.it/post/postfin/index.php...,VALID PHISH
Aug 22 2016 1:41 PM,4398776,http://pautriossale.esy.es/rond,VALID PHISH
Aug 22 2016 1:38 PM,4398764,http://listeassist.esy.es/bluetufd,VALID PHISH
Aug 22 2016 12:59 PM,4398685,http://defredesign.kz/modules/kdz/blackkey/bin/...,Unknown
Sep 8 2017 5:46 AM,5209440,http://knowlegewordls.com/Metro/login.php?cmd=login_submit&id;=5944873a...,VALID PHISH
Sep 8 2017 5:46 AM,5209438,http://knowlegewordls.com/Metro/,VALID PHISH
Sep 8 2017 5:45 AM,5209437,https://wallsfunds.com/login.php,VALID PHISH
Sep 8 2017 5:45 AM,5209436,https://dyersmith-frey.com/newsletter/Manage/inc/myaccount/signin/...,Unknown
Sep 8 2017 5:45 AM,5209435,http://elitescreenprinting.org/success/success/...,VALID PHISH
Sep 7 2017 6:31 PM,5208430,http://holdmiknwogw.com/onlinupdt/verigeautoviews/checkings/...,Unknown
Sep 7 2017 6:29 PM,5208406,http://kmaltubers.com/aliba/login.php?cmd=login_submit&id;=4a50820009cc...,Unknown
Sep 7 2017 6:28 PM,5208399,http://kmaltubers.com/aliba/,Unknown
Sep 7 2017 6:27 PM,5208398,http://onetimescript.com/HSBCcc/,Unknown
Sep 7 2017 6:25 PM,5208397,http://milletsupplysco.com/lubuntu/pair/connect/...,Unknown
Sep 7 2017 6:18 PM,5208389,http://larkanajailz.com/bnk/nbk/brumeoffice/index2.php?l=_JeHFUq_VJOXK...,Unknown
Sep 7 2017 6:18 PM,5208388,http://larkanajailz.com/bnk/nbk/brumeoffice/,Unknown
