Date,ID,URL,Valid Phish
Mar 28 2017 12:22 PM,4906933,http://www.satyaswadesh.com/update/index.html,Unknown
Mar 28 2017 7:56 AM,4906708,http://guzheng.com.my/guzheng/wp-content/themes/twentyfourteen/generic...,Unknown
Mar 28 2017 7:56 AM,4906707,http://guzheng.com.my/guzheng/wp-content/themes/twentyfourteen/generic...,VALID PHISH
Mar 28 2017 7:56 AM,4906706,http://www.mdn.gov.mz/layouts/libraries/cms/html/bootstrap/...,VALID PHISH
Mar 28 2017 7:38 AM,4906670,http://www.hosteers.com/sites/all/modules/color_field/images/css/accou...,VALID PHISH
Jan 30 2017 1:48 PM,4777607,http://www.menuiseriesdulittoral.fr/sites/all/themes/bluemasters/css/j...,Unknown
Jan 30 2017 1:48 PM,4777606,http://www.menuiseriesdulittoral.fr/sites/all/themes/bluemasters/css/j...,Unknown
Jan 30 2017 10:23 AM,4777186,http://www.bergvijver.net/appl.php,Unknown
Jan 30 2017 10:23 AM,4777185,https://apple-com-8a0607a35fe420d7c257408e010b6658.reconli.com...,Unknown
Jan 30 2017 9:11 AM,4776969,http://www.solemediterraneo.eu/images/stories/ro/...,Unknown
Jan 30 2017 7:52 AM,4776876,http://fallowpublic.com/ro/,Unknown
Jan 30 2017 7:52 AM,4776873,http://rolchristianacademy.com/90282/S1ZZL3/,Unknown
Jan 30 2017 7:52 AM,4776872,http://netgifts.com.cy/net.htm,Unknown
Jan 30 2017 7:52 AM,4776871,http://infonativesolutions.com/secureankofameri/login/sign-in/signOnSc...,Unknown
Jan 30 2017 6:18 AM,4776790,https://amazon.de.sslencryptionservice03.online/...,Unknown
Jan 30 2017 6:18 AM,4776789,https://amazon.de.sslencryptionservice03.online...,Unknown
Jan 30 2017 6:18 AM,4776788,http://epl-digitalrefferallcommunications3034.info/...,Unknown
Jan 29 2017 7:44 PM,4776159,http://heat-trade.com.ua/wp-admin/includes/class-walker-category-check...,Unknown
Jan 29 2017 7:44 PM,4776157,https://backupcloudcanada.com/wp-content/plugins/slick-social-share-bu...,Unknown
Jan 29 2017 7:43 PM,4776156,http://serveur-bluewin0.webnode.fr/,Unknown
Jan 29 2017 5:02 PM,4776048,http://ge.sprint-rumex.net.185-101-158-5.513.hosttech.eu/ch3/ce680c6f2...,Unknown
Jan 29 2017 5:02 PM,4776047,http://ge.sprint-rumex.net.185-101-158-5.513.hosttech.eu/ch3/...,Unknown
Jan 29 2017 5:02 PM,4776046,http://ge.sprint-rumex.net.185-101-158-5.513.hosttech.eu/store/d4896f7...,Unknown
Jan 29 2017 5:02 PM,4776045,http://ge.sprint-rumex.net.185-101-158-5.513.hosttech.eu/store/...,Unknown
Jan 29 2017 5:02 PM,4776044,http://ge.sprint-rumex.net.185-101-158-5.513.hosttech.eu/ch4/09fae2991...,Unknown
May 26 2017 7:30 AM,5021630,http://www.amhfortrade.com/administrator/components/clients-prives/...,Unknown
