Date,Date,ID,URL,Valid Phish,ubs,sunrise
2018-08-28 12:24:00,Aug 28 2018 12:24 PM,5765767,https://sunriseconnexion.weebly.com/,VALID PHISH,False,True
2018-03-28 10:34:00,Mar 28 2018 10:34 AM,5555214,https://sunrisemail00001.weebly.com/,Unknown,False,True
2018-03-27 09:42:00,Mar 27 2018 9:42 AM,5553100,https://misunrisechservice.weebly.com/,Unknown,False,True
2017-01-16 05:44:00,Jan 16 2017 5:44 AM,4748153,http://sms-sunrise.ulcraft.com/,VALID PHISH,False,True
2017-05-26 07:33:00,May 26 2017 7:33 AM,5021639,http://www.americanexpress-netherlands.it/2017/clients-prives/sunrise/...,Unknown,False,True
2017-05-26 07:33:00,May 26 2017 7:33 AM,5021638,http://americanexpress-netherlands.it/2017/clients-prives/sunrise/...,Unknown,False,True
2017-05-29 13:16:00,May 29 2017 1:16 PM,5027423,http://sunrise22.weebly.com/,Unknown,False,True
2018-11-10 11:15:00,Nov 10 2018 11:15 AM,5840114,https://infosunrise8.weebly.com/,Unknown,False,True
2014-10-08 07:36:00,Oct 8 2014 7:36 AM,2693078,http://sunrise.webnode.com/,Unknown,False,True
2018-08-21 10:51:00,Aug 21 2018 10:51 AM,5758114,https://sunrisemail.godaddysites.com/,VALID PHISH,False,True
2016-05-17 10:45:00,May 17 2016 10:45 AM,4083376,http://sunrise.ch.mchecc.com/,VALID PHISH,False,True
2018-10-05 10:44:00,Oct 5 2018 10:44 AM,5806046,https://sunrise3.godaddysites.com/,VALID PHISH,False,True
2018-02-22 18:58:00,Feb 22 2018 6:58 PM,5490874,https://sunrise2214.weebly.com/,Unknown,False,True
2018-02-22 18:53:00,Feb 22 2018 6:53 PM,5490749,http://www.finance-sunrise.com/images/new/asp.php...,Unknown,False,True
2018-11-18 17:19:00,Nov 18 2018 5:19 PM,5846926,https://mipsunrisechmipdynloginloginla.godaddysites.com/...,VALID PHISH,False,True
2017-03-21 09:12:00,Mar 21 2017 9:12 AM,4890184,http://ras-security.sg/mip.sunrise.ch/,Unknown,False,True
2017-05-12 14:46:00,May 12 2017 2:46 PM,4995575,http://mails-sunrise-authentifications.weebly.com/...,Unknown,False,True
2018-11-20 11:31:00,Nov 20 2018 11:31 AM,5848992,https://webmail2sunrisechmessagebox.weebly.com/...,Unknown,False,True
2017-12-26 09:54:00,Dec 26 2017 9:54 AM,5400202,https://interfaithchaplaincy.ca/wp-admin/css/colors/sunrise/2017/apple...,VALID PHISH,False,True
2018-02-24 08:15:00,Feb 24 2018 8:15 AM,5495536,https://walkup-shop.fr/s/sunrise/webmail/boite/vocale/suisse/suicom/ac...,Unknown,False,True
2019-02-04 10:15:00,Feb 4 2019 10:15 AM,5927101,https://loginsunrisemail00254.yolasite.com/,Unknown,False,True
2017-05-16 07:53:00,May 16 2017 7:53 AM,5001460,http://sunrise8306.webnode.fr/,VALID PHISH,False,True
2017-03-16 21:54:00,Mar 16 2017 9:54 PM,4880355,https://indialease.com/mip.sunrise.ch/,VALID PHISH,False,True
2017-05-17 11:33:00,May 17 2017 11:33 AM,5003216,http://miseajoursunrise.weebly.com/,VALID PHISH,False,True
2018-03-20 09:11:00,Mar 20 2018 9:11 AM,5540685,https://sunrise1254.weebly.com/,VALID PHISH,False,True
2018-12-09 08:55:00,Dec 9 2018 8:55 AM,5870474,https://sunrise.ch.transcode-cr-payflow-ppv.pp-lang-de.com/sunrise/...,Unknown,False,True
2018-12-19 13:40:00,Dec 19 2018 1:40 PM,5880830,https://payopenamounts.ebill-rechnung-sunrise.com/mysunrise/...,Unknown,False,True
2015-08-31 05:36:00,Aug 31 2015 5:36 AM,3429675,http://reponseautosunrise.hostoi.com/,Unknown,False,True
2016-08-10 13:58:00,Aug 10 2016 1:58 PM,4360759,http://www.imcreator.com/free/sunrise.chh/mippsunrisech...,Unknown,False,True
2018-11-29 13:02:00,Nov 29 2018 1:02 PM,5860005,https://loginsunrisemail01.yolasite.com/,Unknown,False,True
2017-08-07 11:47:00,Aug 7 2017 11:47 AM,5142370,http://mipsunrise.weebly.com/,Unknown,False,True
2017-10-13 08:31:00,Oct 13 2017 8:31 AM,5278704,http://sunrisedoix.weebly.com/,Unknown,False,True
2017-10-06 07:20:00,Oct 6 2017 7:20 AM,5267238,http://email-sunrise.weebly.com/,Unknown,False,True
2017-08-22 08:14:00,Aug 22 2017 8:14 AM,5173095,http://serveur-sunrise-inc.weebly.com/,Unknown,False,True
