:TYPE	id:START_ID(organisation_id)	interessengruppe2_id:END_ID(interessengruppe_id)
GEHOERT_ZU	45	85
GEHOERT_ZU	83	33
GEHOERT_ZU	131	131
GEHOERT_ZU	135	41
GEHOERT_ZU	138	78
GEHOERT_ZU	155	57
GEHOERT_ZU	156	65
GEHOERT_ZU	159	12
GEHOERT_ZU	164	12
GEHOERT_ZU	169	41
GEHOERT_ZU	214	10
GEHOERT_ZU	220	79
GEHOERT_ZU	240	38
GEHOERT_ZU	251	66
GEHOERT_ZU	264	12
GEHOERT_ZU	294	65
GEHOERT_ZU	296	16
GEHOERT_ZU	318	51
GEHOERT_ZU	325	41
GEHOERT_ZU	332	19
GEHOERT_ZU	346	59
GEHOERT_ZU	358	13
GEHOERT_ZU	364	14
GEHOERT_ZU	367	35
GEHOERT_ZU	394	52
GEHOERT_ZU	398	41
GEHOERT_ZU	411	1
GEHOERT_ZU	437	13
GEHOERT_ZU	438	106
GEHOERT_ZU	454	13
GEHOERT_ZU	493	52
GEHOERT_ZU	499	26
GEHOERT_ZU	501	26
GEHOERT_ZU	502	39
GEHOERT_ZU	519	13
GEHOERT_ZU	548	50
GEHOERT_ZU	558	52
GEHOERT_ZU	584	67
GEHOERT_ZU	602	131
GEHOERT_ZU	604	32
GEHOERT_ZU	621	57
GEHOERT_ZU	647	52
GEHOERT_ZU	671	41
GEHOERT_ZU	674	131
GEHOERT_ZU	681	13
GEHOERT_ZU	694	29
GEHOERT_ZU	698	12
GEHOERT_ZU	730	27
GEHOERT_ZU	752	60
GEHOERT_ZU	759	52
GEHOERT_ZU	761	100
GEHOERT_ZU	762	30
GEHOERT_ZU	793	65
GEHOERT_ZU	800	13
GEHOERT_ZU	808	13
GEHOERT_ZU	815	13
GEHOERT_ZU	838	61
GEHOERT_ZU	851	27
GEHOERT_ZU	866	27
GEHOERT_ZU	868	78
GEHOERT_ZU	869	78
GEHOERT_ZU	871	27
GEHOERT_ZU	916	2
GEHOERT_ZU	923	1
GEHOERT_ZU	935	70
GEHOERT_ZU	938	60
GEHOERT_ZU	954	48
GEHOERT_ZU	961	58
GEHOERT_ZU	962	19
GEHOERT_ZU	974	52
GEHOERT_ZU	977	59
GEHOERT_ZU	979	4
GEHOERT_ZU	980	116
GEHOERT_ZU	988	3
GEHOERT_ZU	989	131
GEHOERT_ZU	998	66
GEHOERT_ZU	1027	111
GEHOERT_ZU	1034	93
GEHOERT_ZU	1043	54
GEHOERT_ZU	1045	60
GEHOERT_ZU	1069	29
GEHOERT_ZU	1079	66
GEHOERT_ZU	1090	93
GEHOERT_ZU	1092	53
GEHOERT_ZU	1095	105
GEHOERT_ZU	1114	13
GEHOERT_ZU	1115	52
GEHOERT_ZU	1118	36
GEHOERT_ZU	1119	36
GEHOERT_ZU	1126	12
GEHOERT_ZU	1132	107
GEHOERT_ZU	1154	111
GEHOERT_ZU	1158	89
GEHOERT_ZU	1159	126
GEHOERT_ZU	1160	123
GEHOERT_ZU	1176	111
GEHOERT_ZU	1199	29
GEHOERT_ZU	1203	126
GEHOERT_ZU	1207	12
GEHOERT_ZU	1226	27
GEHOERT_ZU	1246	19
GEHOERT_ZU	1275	60
GEHOERT_ZU	1282	12
GEHOERT_ZU	1285	133
GEHOERT_ZU	1287	85
GEHOERT_ZU	1288	85
GEHOERT_ZU	1289	85
GEHOERT_ZU	1290	85
GEHOERT_ZU	1293	54
GEHOERT_ZU	1296	85
GEHOERT_ZU	1298	85
GEHOERT_ZU	1299	77
GEHOERT_ZU	1300	77
GEHOERT_ZU	1316	85
GEHOERT_ZU	1333	12
GEHOERT_ZU	1334	12
GEHOERT_ZU	1335	12
GEHOERT_ZU	1336	111
GEHOERT_ZU	1337	111
GEHOERT_ZU	1338	111
GEHOERT_ZU	1339	111
GEHOERT_ZU	1343	30
GEHOERT_ZU	1365	13
GEHOERT_ZU	1367	60
GEHOERT_ZU	1386	50
GEHOERT_ZU	1396	51
GEHOERT_ZU	1398	118
GEHOERT_ZU	1422	38
GEHOERT_ZU	1424	85
GEHOERT_ZU	1436	51
GEHOERT_ZU	1442	111
GEHOERT_ZU	1443	111
GEHOERT_ZU	1445	122
GEHOERT_ZU	1465	122
GEHOERT_ZU	1466	14
GEHOERT_ZU	1498	57
GEHOERT_ZU	1499	2
GEHOERT_ZU	1506	50
GEHOERT_ZU	1514	60
GEHOERT_ZU	1528	27
GEHOERT_ZU	1541	123
GEHOERT_ZU	1542	65
GEHOERT_ZU	1543	65
GEHOERT_ZU	1544	65
GEHOERT_ZU	1547	52
GEHOERT_ZU	1565	66
GEHOERT_ZU	1566	65
GEHOERT_ZU	1567	66
GEHOERT_ZU	1573	12
GEHOERT_ZU	1581	32
GEHOERT_ZU	1584	19
GEHOERT_ZU	1588	54
GEHOERT_ZU	1596	33
GEHOERT_ZU	1599	18
GEHOERT_ZU	1610	60
GEHOERT_ZU	1670	103
GEHOERT_ZU	1671	79
GEHOERT_ZU	1688	146
GEHOERT_ZU	1699	12
GEHOERT_ZU	1709	78
GEHOERT_ZU	1713	68
GEHOERT_ZU	1714	68
GEHOERT_ZU	1722	111
GEHOERT_ZU	1732	93
GEHOERT_ZU	1737	28
GEHOERT_ZU	1749	132
GEHOERT_ZU	1753	116
GEHOERT_ZU	1764	54
GEHOERT_ZU	1772	111
GEHOERT_ZU	1775	78
GEHOERT_ZU	1783	95
GEHOERT_ZU	1796	80
GEHOERT_ZU	1804	94
GEHOERT_ZU	1806	79
GEHOERT_ZU	1807	85
GEHOERT_ZU	1808	54
GEHOERT_ZU	1818	41
GEHOERT_ZU	1824	44
GEHOERT_ZU	1831	48
GEHOERT_ZU	1846	78
GEHOERT_ZU	1847	78
GEHOERT_ZU	1849	14
GEHOERT_ZU	1850	47
GEHOERT_ZU	1851	78
GEHOERT_ZU	1852	14
GEHOERT_ZU	1868	27
GEHOERT_ZU	1881	125
GEHOERT_ZU	1884	78
GEHOERT_ZU	1889	70
GEHOERT_ZU	1899	33
GEHOERT_ZU	1902	33
GEHOERT_ZU	1903	13
GEHOERT_ZU	1906	85
GEHOERT_ZU	1908	85
GEHOERT_ZU	1910	85
GEHOERT_ZU	1911	85
GEHOERT_ZU	1912	85
GEHOERT_ZU	1915	51
GEHOERT_ZU	1917	85
GEHOERT_ZU	1924	85
GEHOERT_ZU	1929	13
GEHOERT_ZU	1930	31
GEHOERT_ZU	1940	27
GEHOERT_ZU	1952	15
GEHOERT_ZU	1955	13
GEHOERT_ZU	1980	147
GEHOERT_ZU	1981	93
GEHOERT_ZU	1990	44
GEHOERT_ZU	1999	103
GEHOERT_ZU	2010	65
GEHOERT_ZU	2011	66
GEHOERT_ZU	2026	94
GEHOERT_ZU	2052	49
GEHOERT_ZU	2054	85
GEHOERT_ZU	2057	85
GEHOERT_ZU	2060	103
GEHOERT_ZU	2062	136
GEHOERT_ZU	2063	53
GEHOERT_ZU	2064	33
GEHOERT_ZU	2067	48
GEHOERT_ZU	2069	62
GEHOERT_ZU	2074	36
GEHOERT_ZU	2080	29
GEHOERT_ZU	2082	29
GEHOERT_ZU	2094	71
GEHOERT_ZU	2103	107
GEHOERT_ZU	2122	97
GEHOERT_ZU	2124	1
GEHOERT_ZU	2132	102
GEHOERT_ZU	2133	139
GEHOERT_ZU	2139	4
GEHOERT_ZU	2157	68
GEHOERT_ZU	2165	55
GEHOERT_ZU	2175	40
GEHOERT_ZU	2183	23
GEHOERT_ZU	2187	53
GEHOERT_ZU	2191	23
GEHOERT_ZU	2199	27
GEHOERT_ZU	2206	78
GEHOERT_ZU	2211	139
GEHOERT_ZU	2222	103
GEHOERT_ZU	2224	63
GEHOERT_ZU	2233	133
GEHOERT_ZU	2244	111
GEHOERT_ZU	2247	111
GEHOERT_ZU	2255	85
GEHOERT_ZU	2300	13
GEHOERT_ZU	2304	56
GEHOERT_ZU	2327	18
GEHOERT_ZU	2354	6
GEHOERT_ZU	2357	19
GEHOERT_ZU	2362	127
GEHOERT_ZU	2369	13
GEHOERT_ZU	2379	23
GEHOERT_ZU	2386	90
GEHOERT_ZU	2387	31
GEHOERT_ZU	2392	107
GEHOERT_ZU	2401	12
GEHOERT_ZU	2402	60
GEHOERT_ZU	2406	63
GEHOERT_ZU	2413	27
GEHOERT_ZU	2414	65
GEHOERT_ZU	2438	18
GEHOERT_ZU	2466	97
GEHOERT_ZU	2468	71
GEHOERT_ZU	2477	60
GEHOERT_ZU	2483	78
GEHOERT_ZU	2487	35
GEHOERT_ZU	2498	5
GEHOERT_ZU	2502	60
GEHOERT_ZU	2512	140
GEHOERT_ZU	2513	12
GEHOERT_ZU	2519	68
GEHOERT_ZU	2522	27
GEHOERT_ZU	2529	55
GEHOERT_ZU	2546	15
GEHOERT_ZU	2572	41
GEHOERT_ZU	2573	4
GEHOERT_ZU	2575	8
GEHOERT_ZU	2580	53
GEHOERT_ZU	2581	53
GEHOERT_ZU	2582	53
GEHOERT_ZU	2598	4
GEHOERT_ZU	2600	4
GEHOERT_ZU	2626	108
GEHOERT_ZU	2631	80
GEHOERT_ZU	2636	107
GEHOERT_ZU	2659	76
GEHOERT_ZU	2662	103
GEHOERT_ZU	2671	60
GEHOERT_ZU	2674	65
GEHOERT_ZU	2712	85
GEHOERT_ZU	2755	19
GEHOERT_ZU	2763	19
GEHOERT_ZU	2766	100
GEHOERT_ZU	2830	18
GEHOERT_ZU	2831	19
GEHOERT_ZU	2836	41
GEHOERT_ZU	2854	38
GEHOERT_ZU	2858	23
GEHOERT_ZU	2881	78
