:TYPE	id:START_ID(parlamentarier_id)	fraktion_id:END_ID(fraktion_id)
IST_FRAKTIONMITGLIED_VON	299	5
IST_FRAKTIONMITGLIED_VON	300	5
IST_FRAKTIONMITGLIED_VON	301	5
IST_FRAKTIONMITGLIED_VON	302	1
IST_FRAKTIONMITGLIED_VON	304	3
IST_FRAKTIONMITGLIED_VON	305	5
IST_FRAKTIONMITGLIED_VON	306	5
IST_FRAKTIONMITGLIED_VON	307	5
IST_FRAKTIONMITGLIED_VON	308	5
IST_FRAKTIONMITGLIED_VON	309	5
IST_FRAKTIONMITGLIED_VON	310	1
IST_FRAKTIONMITGLIED_VON	312	5
IST_FRAKTIONMITGLIED_VON	314	1
IST_FRAKTIONMITGLIED_VON	315	1
IST_FRAKTIONMITGLIED_VON	316	8
IST_FRAKTIONMITGLIED_VON	317	8
IST_FRAKTIONMITGLIED_VON	318	1
IST_FRAKTIONMITGLIED_VON	319	8
IST_FRAKTIONMITGLIED_VON	321	1
IST_FRAKTIONMITGLIED_VON	323	3
IST_FRAKTIONMITGLIED_VON	326	1
IST_FRAKTIONMITGLIED_VON	327	8
IST_FRAKTIONMITGLIED_VON	328	5
IST_FRAKTIONMITGLIED_VON	329	4
IST_FRAKTIONMITGLIED_VON	330	3
IST_FRAKTIONMITGLIED_VON	331	8
IST_FRAKTIONMITGLIED_VON	332	3
IST_FRAKTIONMITGLIED_VON	333	8
IST_FRAKTIONMITGLIED_VON	334	4
IST_FRAKTIONMITGLIED_VON	335	3
IST_FRAKTIONMITGLIED_VON	337	8
IST_FRAKTIONMITGLIED_VON	339	3
IST_FRAKTIONMITGLIED_VON	340	8
IST_FRAKTIONMITGLIED_VON	341	5
IST_FRAKTIONMITGLIED_VON	343	5
IST_FRAKTIONMITGLIED_VON	344	5
IST_FRAKTIONMITGLIED_VON	345	8
IST_FRAKTIONMITGLIED_VON	346	4
IST_FRAKTIONMITGLIED_VON	347	3
IST_FRAKTIONMITGLIED_VON	348	2
IST_FRAKTIONMITGLIED_VON	349	4
IST_FRAKTIONMITGLIED_VON	350	4
IST_FRAKTIONMITGLIED_VON	351	3
IST_FRAKTIONMITGLIED_VON	352	8
IST_FRAKTIONMITGLIED_VON	353	1
IST_FRAKTIONMITGLIED_VON	354	4
IST_FRAKTIONMITGLIED_VON	355	4
IST_FRAKTIONMITGLIED_VON	356	5
IST_FRAKTIONMITGLIED_VON	357	2
IST_FRAKTIONMITGLIED_VON	358	4
IST_FRAKTIONMITGLIED_VON	359	2
IST_FRAKTIONMITGLIED_VON	360	5
IST_FRAKTIONMITGLIED_VON	361	1
IST_FRAKTIONMITGLIED_VON	362	2
IST_FRAKTIONMITGLIED_VON	363	8
IST_FRAKTIONMITGLIED_VON	364	8
IST_FRAKTIONMITGLIED_VON	365	2
IST_FRAKTIONMITGLIED_VON	366	3
IST_FRAKTIONMITGLIED_VON	367	4
IST_FRAKTIONMITGLIED_VON	368	3
IST_FRAKTIONMITGLIED_VON	369	2
IST_FRAKTIONMITGLIED_VON	370	3
