:TYPE	id:START_ID(parlamentarier_id)	partei_id:END_ID(partei_id)
IST_PARTEIMITGLIED_VON	315	1
IST_PARTEIMITGLIED_VON	316	7
IST_PARTEIMITGLIED_VON	317	7
IST_PARTEIMITGLIED_VON	318	1
IST_PARTEIMITGLIED_VON	319	7
IST_PARTEIMITGLIED_VON	321	1
IST_PARTEIMITGLIED_VON	323	3
IST_PARTEIMITGLIED_VON	326	1
IST_PARTEIMITGLIED_VON	327	6
IST_PARTEIMITGLIED_VON	328	5
IST_PARTEIMITGLIED_VON	329	4
IST_PARTEIMITGLIED_VON	330	3
IST_PARTEIMITGLIED_VON	331	7
IST_PARTEIMITGLIED_VON	332	3
IST_PARTEIMITGLIED_VON	333	7
IST_PARTEIMITGLIED_VON	334	4
IST_PARTEIMITGLIED_VON	335	3
IST_PARTEIMITGLIED_VON	337	7
IST_PARTEIMITGLIED_VON	339	3
IST_PARTEIMITGLIED_VON	340	18
IST_PARTEIMITGLIED_VON	341	5
IST_PARTEIMITGLIED_VON	343	5
IST_PARTEIMITGLIED_VON	344	5
IST_PARTEIMITGLIED_VON	345	7
IST_PARTEIMITGLIED_VON	346	4
IST_PARTEIMITGLIED_VON	347	3
IST_PARTEIMITGLIED_VON	348	2
IST_PARTEIMITGLIED_VON	349	4
IST_PARTEIMITGLIED_VON	350	4
IST_PARTEIMITGLIED_VON	351	3
IST_PARTEIMITGLIED_VON	352	7
IST_PARTEIMITGLIED_VON	353	1
IST_PARTEIMITGLIED_VON	354	4
IST_PARTEIMITGLIED_VON	355	4
IST_PARTEIMITGLIED_VON	356	5
IST_PARTEIMITGLIED_VON	357	2
IST_PARTEIMITGLIED_VON	358	4
IST_PARTEIMITGLIED_VON	359	2
IST_PARTEIMITGLIED_VON	360	5
IST_PARTEIMITGLIED_VON	361	1
IST_PARTEIMITGLIED_VON	362	2
IST_PARTEIMITGLIED_VON	363	7
IST_PARTEIMITGLIED_VON	364	7
IST_PARTEIMITGLIED_VON	365	2
IST_PARTEIMITGLIED_VON	366	3
IST_PARTEIMITGLIED_VON	367	4
IST_PARTEIMITGLIED_VON	368	3
IST_PARTEIMITGLIED_VON	369	2
IST_PARTEIMITGLIED_VON	370	3
IST_PARTEIMITGLIED_VON	371	4
IST_PARTEIMITGLIED_VON	372	6
IST_PARTEIMITGLIED_VON	373	5
IST_PARTEIMITGLIED_VON	374	1
IST_PARTEIMITGLIED_VON	375	4
IST_PARTEIMITGLIED_VON	376	19
IST_PARTEIMITGLIED_VON	378	3
IST_PARTEIMITGLIED_VON	379	5
IST_PARTEIMITGLIED_VON	380	4
IST_PARTEIMITGLIED_VON	381	1
IST_PARTEIMITGLIED_VON	382	3
IST_PARTEIMITGLIED_VON	383	4
IST_PARTEIMITGLIED_VON	384	5
IST_PARTEIMITGLIED_VON	387	5
IST_PARTEIMITGLIED_VON	388	1
IST_PARTEIMITGLIED_VON	389	3
IST_PARTEIMITGLIED_VON	390	1
IST_PARTEIMITGLIED_VON	391	5
IST_PARTEIMITGLIED_VON	392	1
IST_PARTEIMITGLIED_VON	393	1
