:TYPE	id:START_ID(organisation_id)	interessengruppe_id:END_ID(interessengruppe_id)
GEHOERT_ZU	230	15
GEHOERT_ZU	231	41
GEHOERT_ZU	232	5
GEHOERT_ZU	233	12
GEHOERT_ZU	234	29
GEHOERT_ZU	235	52
GEHOERT_ZU	236	51
GEHOERT_ZU	237	44
GEHOERT_ZU	238	58
GEHOERT_ZU	239	2
GEHOERT_ZU	240	39
GEHOERT_ZU	241	33
GEHOERT_ZU	242	60
GEHOERT_ZU	243	59
GEHOERT_ZU	244	33
GEHOERT_ZU	247	9
GEHOERT_ZU	248	9
GEHOERT_ZU	249	27
GEHOERT_ZU	250	2
GEHOERT_ZU	251	3
GEHOERT_ZU	252	3
GEHOERT_ZU	253	12
GEHOERT_ZU	254	6
GEHOERT_ZU	255	1
GEHOERT_ZU	256	105
GEHOERT_ZU	257	27
GEHOERT_ZU	258	104
GEHOERT_ZU	259	64
GEHOERT_ZU	260	5
GEHOERT_ZU	261	3
GEHOERT_ZU	262	6
GEHOERT_ZU	263	73
GEHOERT_ZU	264	3
GEHOERT_ZU	265	43
GEHOERT_ZU	266	35
GEHOERT_ZU	267	48
GEHOERT_ZU	268	58
GEHOERT_ZU	269	29
GEHOERT_ZU	270	48
GEHOERT_ZU	271	51
GEHOERT_ZU	272	87
GEHOERT_ZU	273	85
GEHOERT_ZU	274	44
GEHOERT_ZU	275	51
GEHOERT_ZU	276	62
GEHOERT_ZU	277	66
GEHOERT_ZU	278	60
GEHOERT_ZU	279	35
GEHOERT_ZU	281	35
GEHOERT_ZU	282	5
GEHOERT_ZU	283	62
GEHOERT_ZU	284	13
GEHOERT_ZU	285	1
GEHOERT_ZU	287	70
GEHOERT_ZU	288	1
GEHOERT_ZU	289	2
GEHOERT_ZU	290	40
GEHOERT_ZU	291	84
GEHOERT_ZU	292	57
GEHOERT_ZU	293	68
GEHOERT_ZU	294	66
GEHOERT_ZU	295	4
GEHOERT_ZU	296	36
GEHOERT_ZU	297	101
GEHOERT_ZU	298	53
GEHOERT_ZU	299	18
GEHOERT_ZU	300	18
GEHOERT_ZU	302	4
GEHOERT_ZU	303	12
GEHOERT_ZU	304	5
GEHOERT_ZU	305	63
GEHOERT_ZU	306	42
GEHOERT_ZU	307	18
GEHOERT_ZU	308	18
GEHOERT_ZU	309	15
GEHOERT_ZU	310	15
GEHOERT_ZU	311	95
GEHOERT_ZU	312	83
GEHOERT_ZU	314	146
GEHOERT_ZU	315	19
GEHOERT_ZU	316	63
GEHOERT_ZU	317	15
GEHOERT_ZU	318	19
GEHOERT_ZU	319	52
GEHOERT_ZU	320	5
GEHOERT_ZU	321	18
GEHOERT_ZU	322	3
GEHOERT_ZU	323	4
GEHOERT_ZU	324	27
GEHOERT_ZU	325	8
GEHOERT_ZU	326	27
GEHOERT_ZU	327	4
GEHOERT_ZU	328	4
GEHOERT_ZU	329	3
GEHOERT_ZU	332	42
GEHOERT_ZU	333	48
GEHOERT_ZU	334	42
GEHOERT_ZU	335	42
GEHOERT_ZU	336	59
GEHOERT_ZU	337	92
GEHOERT_ZU	338	57
GEHOERT_ZU	339	57
GEHOERT_ZU	340	68
GEHOERT_ZU	341	71
GEHOERT_ZU	342	79
GEHOERT_ZU	343	1
GEHOERT_ZU	344	59
GEHOERT_ZU	345	19
GEHOERT_ZU	346	5
GEHOERT_ZU	347	98
GEHOERT_ZU	348	68
GEHOERT_ZU	349	18
GEHOERT_ZU	350	18
GEHOERT_ZU	351	59
GEHOERT_ZU	352	44
GEHOERT_ZU	353	6
GEHOERT_ZU	354	6
GEHOERT_ZU	355	12
GEHOERT_ZU	356	10
GEHOERT_ZU	358	20
GEHOERT_ZU	360	102
GEHOERT_ZU	361	13
GEHOERT_ZU	362	59
GEHOERT_ZU	363	59
GEHOERT_ZU	364	13
GEHOERT_ZU	365	76
GEHOERT_ZU	366	99
GEHOERT_ZU	367	14
GEHOERT_ZU	368	13
GEHOERT_ZU	369	51
GEHOERT_ZU	370	42
GEHOERT_ZU	371	19
GEHOERT_ZU	372	19
GEHOERT_ZU	373	53
GEHOERT_ZU	374	48
GEHOERT_ZU	375	19
GEHOERT_ZU	376	19
GEHOERT_ZU	377	57
GEHOERT_ZU	378	48
GEHOERT_ZU	379	19
GEHOERT_ZU	380	19
GEHOERT_ZU	381	53
