:TYPE	id:START_ID(parlamentarier_id)	rat_id:END_ID(rat_id)
IST_IM_RAT	405	1
IST_IM_RAT	406	2
IST_IM_RAT	407	1
IST_IM_RAT	408	1
IST_IM_RAT	409	1
IST_IM_RAT	410	1
IST_IM_RAT	411	1
IST_IM_RAT	412	1
IST_IM_RAT	413	1
IST_IM_RAT	414	1
IST_IM_RAT	415	1
IST_IM_RAT	416	1
IST_IM_RAT	417	1
IST_IM_RAT	418	1
IST_IM_RAT	419	1
IST_IM_RAT	420	1
IST_IM_RAT	421	2
IST_IM_RAT	422	1
IST_IM_RAT	423	2
IST_IM_RAT	424	1
IST_IM_RAT	425	1
