:TYPE	id:START_ID(organisation_id)	interessenraum_id:END_ID(interessenraum_id)
HAT_INTERESSENRAUM	243	2
HAT_INTERESSENRAUM	244	1
HAT_INTERESSENRAUM	246	1
HAT_INTERESSENRAUM	247	4
HAT_INTERESSENRAUM	248	1
HAT_INTERESSENRAUM	249	1
HAT_INTERESSENRAUM	250	1
HAT_INTERESSENRAUM	251	1
HAT_INTERESSENRAUM	252	1
HAT_INTERESSENRAUM	253	7
HAT_INTERESSENRAUM	254	1
HAT_INTERESSENRAUM	255	1
HAT_INTERESSENRAUM	258	1
HAT_INTERESSENRAUM	259	1
HAT_INTERESSENRAUM	260	1
HAT_INTERESSENRAUM	261	1
HAT_INTERESSENRAUM	262	1
HAT_INTERESSENRAUM	263	1
HAT_INTERESSENRAUM	264	1
HAT_INTERESSENRAUM	265	1
HAT_INTERESSENRAUM	266	5
HAT_INTERESSENRAUM	269	2
HAT_INTERESSENRAUM	274	1
HAT_INTERESSENRAUM	275	1
HAT_INTERESSENRAUM	278	1
HAT_INTERESSENRAUM	279	1
HAT_INTERESSENRAUM	282	1
HAT_INTERESSENRAUM	283	1
HAT_INTERESSENRAUM	284	1
HAT_INTERESSENRAUM	285	4
HAT_INTERESSENRAUM	287	1
HAT_INTERESSENRAUM	288	1
HAT_INTERESSENRAUM	289	1
HAT_INTERESSENRAUM	290	1
HAT_INTERESSENRAUM	291	1
HAT_INTERESSENRAUM	292	1
HAT_INTERESSENRAUM	293	1
HAT_INTERESSENRAUM	295	1
HAT_INTERESSENRAUM	296	1
HAT_INTERESSENRAUM	297	1
HAT_INTERESSENRAUM	299	4
HAT_INTERESSENRAUM	300	1
HAT_INTERESSENRAUM	302	1
HAT_INTERESSENRAUM	303	2
HAT_INTERESSENRAUM	304	2
HAT_INTERESSENRAUM	305	2
HAT_INTERESSENRAUM	308	1
HAT_INTERESSENRAUM	309	2
HAT_INTERESSENRAUM	310	1
HAT_INTERESSENRAUM	311	1
HAT_INTERESSENRAUM	312	1
HAT_INTERESSENRAUM	313	1
HAT_INTERESSENRAUM	314	1
HAT_INTERESSENRAUM	315	1
HAT_INTERESSENRAUM	316	1
HAT_INTERESSENRAUM	318	1
HAT_INTERESSENRAUM	319	1
HAT_INTERESSENRAUM	320	1
HAT_INTERESSENRAUM	321	1
