:TYPE	id:int	interessenbindung_id:int	jahr:int	verguetung:int	beschreibung:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	freigabe_datum:localdatetime	parlamentarier_id:END_ID(parlamentarier_id)	organisation_id:START_ID(organisation_id)
VERGUETED	182	3399	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3343
VERGUETED	183	3396	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3341
VERGUETED	185	3397	2015	"0"	"Ehrenamtlich"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3415
VERGUETED	186	3320	2015	3000	"Sitzungsgelder und Entschädigungen"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3325
VERGUETED	187	3401	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3344
VERGUETED	188	3403	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	28
VERGUETED	189	3407	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	602
VERGUETED	202	3890	2015	2000		"https://www.zg.ch/behoerden/regierungsrat/downloads/Register%20Mandate%20RR%202015_18.01.2016.pdf/download"			2020-03-29T08:22:57	317	700
VERGUETED	204	753	2015	6000		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48	210	1005
VERGUETED	206	755	2015	15000		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48	210	154
VERGUETED	207	757	2015	"0"		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48	210	1008
VERGUETED	210	1273	2015	"0"		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48	210	1504
VERGUETED	212	2432	2015	"0"	"Ehrenamtlich"			"E-Mail Addor, 10.3.2016"	2019-09-02T13:18:19	261	2653
VERGUETED	213	2433	2015	"0"	"Ehrenamtlich"			"E-Mail Addor, 10.3.2016"	2019-09-02T13:18:19	261	2658
VERGUETED	214	3293	2015	"0"	"Ehrenamtlich"			"E-Mail Addor, 10.3.2016"	2019-09-02T13:18:19	261	3299
VERGUETED	216	2429	2015	"0"	"ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	2651
VERGUETED	217	2430	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	1976
VERGUETED	218	2431	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	2652
VERGUETED	221	2434	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	2659
VERGUETED	222	2435	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	1035
