id	parlamentarier_id	person_id	parlamentarier_kommissionen	funktion	funktion_fr	von	bis	updated_by_import	freigabe_datum
63	40	68	"GK-V, KVF-NR, WBK-NR"	"Bildungsorganisation savoirsuisse"					2016-06-23T11:01:59
77	55	83	"GPK-NR, WAK-NR"	"Stiftung für Konsumentenschutz"					2016-03-18T11:03:50
79	57	85	"FK-NR, UREK-NR"	"Invité(e)"				2017-04-10T22:13:06	2020-07-02T23:05:05
84	63	90	"APF-V, APK-NR, UREK-NR"	"Gast"					2020-07-15T12:11:27
116	227	123	"EFTA/EU, ERD-V, GK-V, SGK-SR, WAK-SR, WBK-SR"	"Hotz Communications AG"				2017-04-10T22:13:06	2020-07-02T23:05:05
119	97	126	"NATO-V, OSZE, SiK-NR"	"Gast"				2017-04-10T22:13:06	2020-07-02T23:05:05
121	99	128	"FK-NR, SiK-NR"	"Schweizer Brauerei-Verband (SGV)"					2019-01-10T17:16:29
123	103	130	"Bü-NR, KVF-NR, SiK-NR"	"Köhler, Stüdeli & Partner GmbH"				2017-04-10T22:13:06	2016-03-18T11:05:59
143	120	150	"IPU, KVF-NR, SiK-NR"	"Gast"					2016-03-18T11:05:59
169	238	176	"APK-NS 20-30, APK-SR, NATO-V, RedK-V, RK-SR, SiK-SR, SPK-SR"	"Persönlicher Mitarbeiter"					2019-05-10T15:46:17
176	153	183	"BeK-V, GPDel-V, GPK-NR, UREK-NR"	"Migros-Genossenschafts-Bund"					2020-07-15T17:22:06
180	158	187	"APK-NR, APK-NS 20-30, GK-V, RK-NR"	"Institute for Security Analysis and Strategic Networking"				2017-04-10T22:13:06	2016-11-10T14:52:01
183	160	190	"Del D-V, UREK-SR, WAK-SR, WBK-SR"	"furrerhugi AG"				2017-04-10T22:13:06	2019-01-10T18:04:37
194	171	201	"WAK-NR"	"furrerhugi.ag Svizzera Italiana"					2019-07-19T14:06:36
207	183	214	"Del A-V, WAK-NR"	"Stiftung Landschaftsschutz SL-FP"				2017-04-10T22:13:06	2016-03-18T11:06:40
220	195	227	"GPK-NR, SPK-NR"	"Persönlicher Mitarbeiter"					2016-12-16T18:14:11
221	196	228	"FK-SR, UREK-SR, WAK-SR"	"WWF Suisse"				2017-04-10T22:13:06	2020-07-02T23:06:15
235	210	243	"KVF-NR, WBK-NR"	"Gast"					2019-04-25T10:53:39
245	49	253	"APK-NR, WAK-NR"	"Wohnbaugenosschenschaften Schweiz"				2017-04-10T22:13:06	2020-05-19T17:32:27
276	85	284	"KVF-NR, SPK-NR"	"Verband der Schweizerischen Gasindustrie (VSG)"					2020-07-02T23:05:05
286	97	294	"NATO-V, OSZE, SiK-NR"	"Regierungsrat des Kantons Luzern"				2017-04-10T22:13:06	2020-07-15T14:51:47
