Titel,KRNr.,VorlagenNr.,Geschaeftsart,Datum,Direktion,Kommission,Pendent bei,Direktlink,
Zukünftige Verkehrsgestaltung mit innovativen Mobilitätsformen,47/2019,,Postulat,04.02.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=299e27bae0b3476a856b054d7a3e241d,
Prämienverbilligung: Klare Worte des Bundesgerichts,49/2019,,Dringliche Anfrage,04.02.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a63455f57bcd4403a24328852b03588c,
Gleiche Messlatte für Deutschkompetenz,50/2019,,Anfrage,04.02.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d83e9148d16c458aa7b2aa8b40dfa31d,
Überlastete Kantonsstrassen im Oberland,51/2019,,Anfrage,04.02.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=79490b26ab124811b6200ade6ec61f3c,
Rituelle Gewalt,52/2019,,Anfrage,04.02.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e4b86395a52a4653b6f4f0741f0f3c9f,
Wahl Mitglied GPK für den ausgetretenen Stephan Weber,59/2020,,Wahl,18.02.2019,,Interfraktionelle Konferenz,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6b531cb12f734910b5b271767facb403,
"Zusammensetzung der Gruppe, die den Sozialhilfegesetz-Entwurf vorgelegt hat",57/2019,,Interpellation,11.02.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=71a247e99c9c439d854444c4a9c81b76,
Kickbackzahlungen an Ärzte,58/2019,,Anfrage,11.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=53d9bad3238e452fa64f841c280a17d8,
"Sanierung Wanne Pumpwerk, Winterthurerstrasse, 8340 Hinwil",70/2019,,Anfrage,25.02.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a6679bd53ded46d082528f53957947dc,
Eigentümerstrategie im Falle von Beteiligungen des Kantons Zürich,71/2019,,Anfrage,25.02.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=18cf6c955f734b93b0144b053664d105,
Ausbildung von Ärztinnen und Ärzten: Kapazitätslücke bei den Universitätsabschlüssen in Humanmedizin,72/2019,,Anfrage,25.02.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d81dac5640f445bd96f7eac543c2ba65,
Staatsgarantie der Zürcher Kantonalbank,69/2019,,Parlamentarische Initiative,25.02.2019,,,Erledigt Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=1bdd21a847bc43ec87e0264042ad3597,
Ökologische Kleinwohnformen fördern statt verhindern,66/2019,,Postulat,25.02.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c586d89d5d79475285971dff82d3fe38,
Synergien beim Software-Einsatz im Kanton Zürich nutzen,65/2019,,Postulat,25.02.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=be679fa0c415492995338c704fa2583c,
«Klimanotstand»,62/2019,,Dringliches Postulat,25.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6ffb71a3fccb44d393a352efd2d62d31,
"Bedarfsgerechtes Angebot von Vorbereitungskursen für die Aufnahmeprüfungen an Maturitäts-, Handels- und Fachmittelschulen",68/2019,,Parlamentarische Initiative,25.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8123d4f30aa94044b9b6985e80331c71,
Vertiefte Untersuchung zum Beschaffungswesen der Hochschulen und Spitäler,59/2019,,,26.02.2019,,Aufsichtskommission Bildung und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e7e57f6716f146ba96eba7c8525ccd34,
Wahl Mitglied Handelsgericht,60/2019,,Wahl,26.02.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2fff27b23f3345c7881656e0c55f337c,
Transparenz zu Klimarisiken durch die BVK,73/2019,,Anfrage,25.02.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=710d53ec17cd46e9a25015334621d023,
Strategie zur Minimierung von Klimarisiken bei der BVK,74/2019,,Anfrage,25.02.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2772ff627f8948f8a96ae79016f8b6fa,
