Titel,KRNr.,VorlagenNr.,Geschaeftsart,Datum,Direktion,Kommission,Pendent bei,Direktlink,
"Fristerstreckung für die Berichterstattung und Antragsstellung zur Motion KR-Nr. 177/2015 betreffend Richtplan Kapitel 4.7.2, Eintrag Flugplatz Dübendorf",,5554,Vorlage,05.06.2019,Baudirektion,Geschäftsprüfungskommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=1a371f6c05ef412eb7e79aabefdbfa88,
Elektronisches Büro im Steueramt,,5555,Vorlage,05.06.2019,Finanzdirektion,Kommission für Wirtschaft und Abgaben,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e84cb75f443948fea27e3bd9eb3c21f7,
Flüsterbelag Hauptstrasse Steinmaur,197/2019,,Anfrage,17.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=66613ffec4c246109f87ed00ed7afa50,
Integrationsagenda und Submissionen in der kantonalen Verwaltung,198/2019,,Anfrage,17.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b0d292e2de354faa9785012bc77690e5,
Transparenz zu den effektiven Kosten bei Kinder- und Jugendheimen,199/2019,,Anfrage,17.06.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=afed5f7450a24b09827201829c31046b,
Faire Rückliefertarife für Solarstrom,200/2019,,Anfrage,17.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=baa320f2d7fa44c39871f3e596d5c52b,
Umsetzung des «Notfallschutzkonzepts bei einem KKW-Unfall in der Schweiz» im Kanton Zürich,201/2019,,Anfrage,17.06.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=258eeeeb95674fb7bfe79eb0e791d26f,
Foodwaste verringern I,185/2019,,Postulat,17.06.2019,Baudirektion,,Erledigt Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a6f151c151b34ee0893df35e12180307,
Foodwaste verringern II,186/2019,,Postulat,17.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ba7c32ce931e4bbe83de8edf3f26f6e1,
Vereinheitlichung Amtsdauer Präsidien der obersten Gerichte,202/2019,,Anfrage,17.06.2019,Verwaltungsgericht,,Erledigt ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=998e7dd4f76646709d54ad995efe2488,
Wahl der Mitglieder des Bankpräsidiums und des Bankrates ZKB 2019-2023,187/2019,,,17.06.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=70324b0d742441c4b923efe81c5a7838,
Wahl Mitglieder Verwaltungsrat EKZ 2019-2023,188/2019,,,17.06.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a001c93b44ce473685dc7c31464f6c8c,
Wahl der Mitglieder des Aufsichtsrates der Sozialversicherungsanstalt 2019-2023,189/2019,,,17.06.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e136d88c1df94961b7cdb2116ab86b24,
Wahl der Mitglieder und Ersatzmitglieder Obergericht 2019-2025,190/2019,,,17.06.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=323015de0ecc45a6b1d5987a680f96b2,
Wahl der Mitglieder und Ersatzmitglieder Verwaltungsgericht 2019-2025,191/2019,,,17.06.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=06abe7e65b5445acabc1506163d27a8e,
Wahl der Mitglieder und Ersatzmitglieder Sozialversicherungsgericht 2019-2025,192/2019,,,17.06.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b79df51ef7084448ab3ff0a7e227cbcd,
Wahl Mitglieder Handelsgericht 2019-2025,193/2019,,Wahl,17.06.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e165469e2099431e8686e4e94fa716ca,
"Erst untersuchen, dann handeln",195/2019,,Postulat,17.06.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=68978c96cb0d4787be04da2e3e265aab,
Umstellung auf Elektromobilität beim kantonalen Fahrzeugpark,194/2019,,Postulat,17.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=303ca6de19d2493d816a8351f09a824e,
Berechnungsregel Erbschaft- und Schenkungssteuer Art. 24 ist aufzuheben,205/2019,,Einzelinitiative,12.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=86d476ec64474f6b862d7b36df43397f,
Transparenz bei den Geldern für Pflegefamilien und Fremdplatzierungsorganisationen (FPO) im Kanton Zürich,237/2019,,Interpellation,08.07.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ee2fb889cee848db9fbf045f4831b93c,
Schildbürgerstreich im Limmattal,238/2019,,Anfrage,08.07.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b476bffd069a43e8be16260420a5518a,
Gleiche Vorgaben für E-Zigaretten wie für übliche Raucherwaren,239/2019,,Anfrage,08.07.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9cb4c562c0f541408472bf8567c84ccf,
Wahl Datenschutzbeauftrage / Datenschutzbeauftragter,345/2019,,Wahl,08.07.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d972a41686d7432a88e1647aee7f6600,
Unternehmensfreundliche Rahmenbedingungen dank Bürokratieabbau durch Beurkundungskompetenz für Anwälte im Kanton Zürich,234/2019,,Motion,08.07.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5ad24c0425294914bc602d3e352427d2,
«Raus aus der Teilzeitfalle»,240/2019,,Anfrage,08.07.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8155535aa00346b9acd78179bbd48a97,
Strafanzeige gegen Mehrfachschulleiter im Bezirk Dielsdorf,242/2019,,Anfrage,08.07.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5dc0b69563d948f89531810c0d3df569,
Befreiung von Elektrofahrzeug-Ladestationen an bestehenden Parkplätzen von der Baubewilligungspflicht,233/2019,,Motion,08.07.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=780b7687242c47658fa421c7b08b8b14,
Ausstattung kantonaler Parkplätze mit Ladeinfrastruktur,232/2019,,Motion,08.07.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ce5d5cf5b5c943868c81d1fe53f238cf,
Netzkostenbeiträge für die Erschliessung von Gemeinschaftsgaragen und öffentlichen Ladestationen mit Strom,236/2019,,Postulat,08.07.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a2bec2f9745240cd8f296365a5a99758,
Steigerung des Aufwandes für das Vormundschaftswesen seit der KESB-Einführung,243/2019,,Anfrage,08.07.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=73e2a3a1b4fd4d78bb4ea896870e6bc8,
Projekt Kompetenzzentren,244/2019,,Anfrage,08.07.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3b056d15587949598d9c96c84e157478,
Entflechtungsgebot im Stromversorgungsgesetz: Praxis der EKZ,245/2019,,Anfrage,08.07.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2eb279580e3149dbbdb9b9ebe8f96c64,
Ersatzwahl Ersatzmitglied Obergericht für Nicole Klausner,364/2019,,,09.07.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e38607ef5c6c47dba65a1938ffa0833f,
Rahmenkredit Zürcher Verkehrsverbund für die Fahrplanperiode 2020/2021,,5557,Vorlage,05.06.2019,Volkswirtschaftsdirektion,"Kommission für Energie, Verkehr und Umwelt",,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ee5e85b072054483a110ef2218587728,
Wahl der Mitglieder der Jugendhilfekommission für die Amtsdauer 2019-2023,,5563,Vorlage,20.06.2019,Bildungsdirektion,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a2772687c96b4482aed779caa706f9b5,
Subvention von Bildungsgängen höhere Fachschule im Gesundheitswesen der Careum AG Bildungszentrum für Gesundheitsberufe,,5564,Vorlage,29.05.2019,Bildungsdirektion,Kommission für Bildung und Kultur,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=fcffe96a65d34a9b9fbbb47130de3e45,
Verbot von alkoholischen Getränken sowie Raucherwaren wie Zigaretten und Zigarren zu verkaufen oder auszuschenken,248/2019,,Einzelinitiative,04.06.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c392f43b37494ea0b9c5a71141251ba1,
Geschäftsbericht und Jahresrechnung 2018 der BVG- und Stiftungsaufsicht des Kantons Zürich (BVS),,5565,Vorlage,15.05.2019,Direktion der Justiz und des Innern,Geschäftsprüfungskommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=279d15bbf91f4703b30d752dff268252,
Tätigkeitsbericht Ombudsmann 2018,281/2019,,,09.08.2019,,Geschäftsleitung,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=83df6a24aa7747f788bdb2b28ec250de,
Nachwahl von Mitgliedern des Schiedsgerichts in Sozialversicherungsstreitigkeiten für die Amtsdauer 2019-2025,,5566,Vorlage,28.08.2019,Gesundheitsdirektion,Justizkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a9287b71114a4dc199a5c58d90d68d35,
Abrechnung Objektkredit für die Einmaleinlage zur Sanierung der Versicherungskasse für das Staatspersonal,,5572,Vorlage,28.08.2019,Finanzdirektion,Kommission für Staat und Gemeinden,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=768fb3f2a53740bda2e9df62d9431a95,
Festsetzung Steuerfuss für die Jahre 2020 und 2021,,5570,Vorlage,28.08.2019,Finanzdirektion,Finanzkommission,Erledigt ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6770bbc4d71a4b37b0dd8323f2b6c831,
Erhöhung Verkehrssicherheit auf der Dorfstrasse in Obfelden,289/2019,,Anfrage,09.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c1ce77ec58ac47ad9a104795779be6ef,
Ermässigungen im Verkehrsabgabengesetz (VAG),287/2019,,Anfrage,09.09.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=77b972793a9b4f2c8a79d0cd1bfd6826,
1985: Verzicht auf die Festsetzung von Baulinien für den Seeuferweg am rechten Zürichseeufer,288/2019,,Anfrage,09.09.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=09fab56435ff448788a1b809dca5295c,
Minderheitsbeteiligung des Universitätsspitals an der Spital Männedorf AG,291/2019,,Anfrage,09.09.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a5b3926518ec401c97469179801e1c57,
Korrektur der Auftragsverhältnisse der Triagestelle für nicht lebensbedrohliche medizinische Notfälle (Notfalldienst),292/2019,,Anfrage,09.09.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4b8a14bb795044baa6eaea9d7f36f00d,
Ersatzwahl Mitglied ABG für Martin Haab,285/2019,,Wahl,09.09.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e2a563a8f3e0490f848c3f397f8a64a6,
Zahlungserinnerungen zur Verminderung von Steuerausfällen,293/2019,,Anfrage,09.09.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b3ceda4781964df7b117f9185cb10fdc,
"Elektronisches Patientendossier (EPD), Betriebsgesellschaft axsana AG",286/2019,,Dringliche Anfrage,09.09.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=916a4a2b264e4fc1be0b924e145d7b10,
Wahl Mitglied Steuerrekursgericht (50%) für Alexander Widl,136/2020,,Wahl,10.09.2019,,Interfraktionelle Konferenz,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=bb00636c6433419a8862eec839de42b9,
Verordnung über die Parlamentsdienste,366/2019,,Diverses,10.09.2019,,Geschäftsleitung,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2969e747eea64fd1a19ffe09295c3907,
"Jahresberichte u. Nachweis Einhaltung der neg. Zweckbindung der Kirchensteuern der jur. Personen 2018 der Ev.-ref. Landeskirche, der Röm.-kath. Körperschaft, der Christkath. Kirchgemeinde, der Israelitischen Cultus- und der Jüdischen Liberalen Gemeinde",,5573,Vorlage,03.09.2019,Direktion der Justiz und des Innern,Geschäftsprüfungskommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=177e091ee0464b9e9de46af79459e098,
Rückstellungen für Überstunden (2),294/2019,,Anfrage,16.09.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=732d07556d274998aefcdd1ca75863d6,
CO2-Ausstoss der Schifffahrt im Kanton Zürich,295/2019,,Anfrage,16.09.2019,Baudirektion,,Erledigt ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=db7714da63bf4f449a532dd254eef66a,
Carbon Capture and Storage (CCS),296/2019,,Anfrage,16.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=de530a49bd054777864ba64d612342dc,
Flughafen AG ? Transparenz bei Slots / Kapazitätserweiterungen,297/2019,,Anfrage,16.09.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0c5194b7d24f425382ef13284f3134a6,
Kontrollmöglichkeiten bei Sicherheitsunternehmen,298/2019,,Anfrage,16.09.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d7291450b3ae4652a8bf50cb988eecb0,
Konferenzföderalismus,299/2019,,Anfrage,16.09.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=69c2682991094023904d86d682e4eebf,
Transparenz über die Inhaltstoffe von Pestiziden,300/2019,,Anfrage,16.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7270495e68f54c9596d9d9b531df5ba0,
Sabbaticals und Wahlkampf und professorale Nebenverdienste,321/2019,,Anfrage,30.09.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7adb4389f1c843bf817443cb6cc0f91a,
Stellen-Etat in den Verwaltungen der Zürcher Gemeinden,320/2019,,Anfrage,30.09.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3880ea06ff5d423381e686aac2dfb600,
Begleit- und Transportkosten von Menschen in stationären Einrichtungen,323/2019,,Anfrage,30.09.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3f604529467a4fe2a4713f2025e2917f,
Alternative Standorte für den Bau eines Fussballstadions ausserhalb der Stadt Zürich,317/2019,,Postulat,30.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0cdbc2ec082549329116282109e5f103,
Kantonspolizistinnen und -polizisten mit Niederlassungsbewilligung C,315/2019,,Postulat,30.09.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3662cb1da0954aacaba3ed4b0fc61428,
Gleichbehandlung der Verkehrsträger bei Erhebung und Darstellung der Lärmbelastung,316/2019,,Postulat,30.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9a19c31f4d5a43c7bf9a56cd23ed0258,
Langfristige Planungen und neue Modelle für den Schulraum des Kantons,318/2019,,Anfrage,30.09.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=36d22280d1844ea2aeddba4c77e9cc80,
Reduktion von Food Waste dank steuerlichem Anreizsystem zum Spenden von überschüssigen Lebensmitteln,319/2019,,Anfrage,30.09.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=cab88abe865e494b9ce5ba0e808e3419,
Höhere Strafen bei Gewalt gegen Polizisten und Rettungskräfte,322/2019,,Anfrage,30.09.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f4fe0b39bcf64970a4b6ab4f55fbbbd5,
Betreuungsgutscheine zur Stärkung des Wirtschaftsstandorts und der Chancengerechtigkeit,312/2019,,Motion,30.09.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=14e30fa72b1a4d7cb4fd5aa3a89a13dd,
Steuerabzug der tatsächlichen Kinder-Betreuungskosten,313/2019,,Motion,30.09.2019,Finanzdirektion,,Erledigt Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b01e737a951e41b1bf717498cc3c7dc8,
Mitfinanzierung der familienergänzenden Betreuung im Vorschulbereich durch Kanton und Gemeinden,314/2019,,Motion,30.09.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=87f6eeb93f054eac9820475e1a1d5f29,
Ersatzwahl Mitglied JUKO für die ausgetretene Andrea Gisler,357/2019,,,01.10.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8bc44c7be8ce459b860ba485e732f0a7,
Bewilligung eines Objektkredits für den Erweiterungsbau des Bezirksgerichts Meilen,,5577,Vorlage,10.10.2019,Baudirektion,Kommission für Planung und Bau,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f087048eeeaf4b38a0c2c1923b94d21e,
Bauprogramm der Staatsstrassen für die Jahre 2020-2022,,5576,Vorlage,10.10.2019,Volkswirtschaftsdirektion,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=621046e8c14c444caa3c4efff3520285,
Planspiele auf Zürcher Hauptverkehrsstrassen,325/2019,,Anfrage,21.10.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d061ab7096a64d1aada4ab117dd6acb1,
Der Puck des kantonalen Verwaltungs-Anstosses,327/2019,,Anfrage,21.10.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=cbf93094bde2417b9a6d497cff446650,
Wohnsituation von Asylsuchenden und vorläufig aufgenommenen Personen in kantonalen Unterkünften und in Gemeinden,324/2019,,Postulat,21.10.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=79d00bc50b314f67bb480be078c214c8,
«Carlos» zum X-ten,326/2019,,Anfrage,21.10.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8882eb5a6abd4d389b7ee189c9de96ad,
Situation der geflüchteten Frauen im Kanton Zürich,328/2019,,Anfrage,21.10.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0d3d9a61caed401697797ef6d64a106a,
Eintritt eines neuen Mitglieds des Kantonsrates für Corina Gredig,349/2019,,,05.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8b38d69d81ab4e2da08a7dc003ae5644,
Eintritt neues Mitglied Kantonsrat für Céline Widmer,355/2019,,,05.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b6e4cc01ae6e4da1b405c93adf1d8583,
Eintritt neues Mitglied Kantonsrat für Meret Schneider,350/2019,,,05.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=77b14de1ce3940f39e1f4824d156f54b,
Ersatzwahl für Kantonsrätin Judith Bellaiche,347/2019,,,05.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c11c34277fd743f6a40782564d669ea7,
Eintritt neues Mitglied Kantonsrat für Marionna Schlatter,356/2019,,,05.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=fdcf6220d1ea4a7d9ffdbae9f73fb03c,
Eintritt eines neuen Mitglieds des Kantonsrates für Jörg Mäder,346/2019,,,05.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=11b703b386124af58413aa9320e7d9ff,
"Frühkindliche Betreuung, Bildung und Erziehung (FBBE) ? faire Startchancen für alle",340/2019,,Postulat,11.11.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f7528c07fa364987996572423e38fff7,
Schädliche Steinwüsten ? Kantonale Flächen,339/2019,,Motion,11.11.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c09abfcba8b045a4955a6474c4ef1f97,
"Umgang mit Kindern, die ihre Abtreibung überleben",342/2019,,Anfrage,11.11.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=983faa8f02ae4c65bd4c71f2a1da0395,
Bedeutung des dualen Bildungssystem und Massnahmen zu deren Förderung,343/2019,,Anfrage,11.11.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=75249c286ff64c8bae07b55f57a3fc79,
"Bundesgrenzschutzaufgaben im Kanton Zürich, deren Kosten und Weiterverrechnung an den Bund",344/2019,,Anfrage,11.11.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0e1a7ecd9c6f48d895b522caa90fd9aa,
Ohne Big Brother von A nach B reisen,376/2019,,Einzelinitiative,13.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=1ab47595dce643188ec2a74bd7b3755c,
Wahl Mitglied Obergericht (100%) für Peter Higi,135/2020,,Wahl,15.11.2019,,Interfraktionelle Konferenz,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4be779be98f54f94a493ee8d89e34719,
Stellenwert des ÖV am linken Zürichsee-Ufer,353/2019,,Anfrage,18.11.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a6a3a81ee5994288bdedd5c3d8e1f559,
Unlautere Praktiken im medizinischen Diagnostikbereich,354/2019,,Anfrage,18.11.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=13d634abe70b46b1b52a3a705aa56d73,
Raumentwicklung und Nacht,351/2019,,Motion,18.11.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=991412ea06284c2caa1f7dfd5fe4d198,
Vertretung des Kantons durch ein Mitglied des Regierungsrates,,5581,Vorlage,23.10.2019,Staatskanzlei,Geschäftsleitung,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=286348ea84ae41dc821428311c19db06,
Wahl Präsidium Finanzkommission für Céline Widmer,358/2019,,,25.11.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=aefdfb646d564ec4ba7f5df624d11ecf,
Naturschutzgesamtkonzept: Kenntnisse über das Vorkommen von Arten,398/2019,,Anfrage,09.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=fb9fe7f336e343b8a335c91aa668de91,
Umsetzung Naturschutzgesamtkonzept: Schutzverordnungen,399/2019,,Anfrage,09.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7b981245a0984cdebe02f2946a5f9383,
Wahl Ersatzmitglied Steuerrekursgericht für Hans Heinrich Knüsli,390/2019,,,09.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8b7ab74e38104508b8c520b1ff73761c,
Altlastensanierung im Zürichsee bei Horgen,397/2019,,Interpellation,09.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a31fff6b797146e18d4d6a4bb0f788ac,
Ungenügende ökologische Infrastruktur sanieren,393/2019,,Postulat,09.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f65c42f01add418bb1b6f095c784735b,
Ökologischer Ausgleich,395/2019,,Parlamentarische Initiative,09.12.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=39327fb2e80e47d4934ff3d6c4dfbc38,
Daten zur Altersvorsorge und Altersarmut der Frauen im Kanton Zürich,394/2019,,Postulat,09.12.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=703876e963154b08b7ab54c3781797b2,
Künstlicher Trockenstandort: ökologischer Sinn oder Unsinn?,400/2019,,Anfrage,09.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=64687e72142c4c7c89452901a3398a26,
Darlegung finanzieller Auswirkungen,396/2019,,Parlamentarische Initiative,09.12.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3b3d0691a8ab466895120da79d06c226,
Anstandsregel für scheidende Regierungsrätinnen und Regierungsräte,401/2019,,Motion,10.12.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=78c2354383344a4cae87126414fc91ca,
Investitionsbeiträge des Verkehrsfonds bei Ausbauvorhaben der Bahninfrastruktur,402/2019,,Parlamentarische Initiative,10.12.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7c9d6f7dbc534b95bf99add92705047f,
Flughafen Zürich AG: Investitionen im Ausland,404/2019,,Anfrage,10.12.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0c16a4c6bfb2465fa6fb5faf8322cce6,
